id;achievement_id;name;jhi_type;mission_id;mmission_id
1;6d6f62696c652046697368;486f6d65204c6f616e204163636f756e74205461626c6520436f6d7075746572;5808;45924;9
2;536176696e6773204163636f756e7420616c61726d;5461737479204d6574616c204261636f6e;93855;21233;1
3;4f666669636572;6d6574686f646f6c6f677920416c62616e6961;43194;2306;3
4;496e766573746d656e74204163636f756e7420537465656c;436f6f7264696e61746f72;23277;45606;1
5;536176696e6773204163636f756e742073796e64696361746520506c616e6e6572;526566696e65642052756262657220436869636b656e205461626c65;6505;1326;10
6;506c616e6e65722063726f73732d706c6174666f726d20616363657373;5075626c69632d6b6579;24102;44015;7
7;496e766573746d656e74204163636f756e74;47616d657320526567696f6e616c204469676974697a6564;66252;75536;4
8;436f7374612052696361204d61796f747465;496e647573747269616c;84228;77513;5
9;652d656e61626c6520436f6d6d756e69636174696f6e7320636170616369746f72;417765736f6d65;19598;52083;1
10;736f667477617265207363616c6520696e746572616374697665;4c6f75697369616e61205370656369616c69737420486f6d65204c6f616e204163636f756e74;27599;14092;3
