id;name;short_name;name_ruby;description;effect_description;initial_command;rarity;command_type;ball_condition_ground;ball_condition_low;ball_condition_high;stamina_lv_min;stamina_lv_max;power_lv_min;power_lv_max;blow_off_count;m_shoot_id;foul_rate;distance_decay_type;activate_character_count;action_cut_id;powerup_group
1;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;18340;61748;30424;61165;52475;706;43194;2306;29122;52477;61185;39986;13949;4666;29214;97375;36636
2;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;23277;45606;9060;78517;61838;19967;38246;51423;98323;59241;46676;4645;85994;60754;68030;17052;45049
3;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;6505;1326;94888;94220;96563;56328;80839;38541;30461;1596;9767;23089;68423;24102;44015;68326;12203
4;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;60999;49517;83319;3438;17336;90932;39106;25877;18223;66252;75536;31171;42515;52006;20794;54671;56770
5;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;18485;3131;96958;84228;77513;44975;93949;39515;89482;92665;59789;72727;92187;32654;8849;57044;19598
6;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;52083;4522;96117;32533;84453;38867;74732;27134;53969;82873;58675;35675;96525;28093;60703;54269;27599
7;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;14092;29627;80219;16526;7455;1563;98688;42340;77224;39488;19871;29348;552;1407;81546;19884;70685
8;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;71134;72900;79017;77127;60595;7404;92630;35846;65107;11586;91495;86310;85003;62329;44945;33089;9541
9;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;6355;37081;31098;66884;32518;66592;72960;59129;63755;27472;88721;56124;47221;38292;11959;97171;71324
10;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;84891;76078;72172;56127;23598;77096;25606;49379;4043;52273;71066;42754;11089;2541;43933;10789;20171
