id;action_cut_id;character_id;cut_name;type;start_synchronize;finish_synchronize;start_delay;chapter_1_character;chapter_1_text;chapter_1_sound_event;chapter_2_character;chapter_2_text;chapter_2_sound_event;chapter_3_character;chapter_3_text;chapter_3_sound_event;chapter_4_character;chapter_4_text;chapter_4_sound_event;chapter_5_character;chapter_5_text;chapter_5_sound_event;synchronize_text;synchronize_sound_event
1;80744;12208;../data/blob/hipster.txt;89609;35629;31800;90682;11005;../data/blob/hipster.txt;../data/blob/hipster.txt;27213;../data/blob/hipster.txt;../data/blob/hipster.txt;22793;../data/blob/hipster.txt;../data/blob/hipster.txt;64769;../data/blob/hipster.txt;../data/blob/hipster.txt;42710;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
2;52;81801;../data/blob/hipster.txt;35256;86073;30478;695;16465;../data/blob/hipster.txt;../data/blob/hipster.txt;51074;../data/blob/hipster.txt;../data/blob/hipster.txt;53408;../data/blob/hipster.txt;../data/blob/hipster.txt;41741;../data/blob/hipster.txt;../data/blob/hipster.txt;48482;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
3;22210;69243;../data/blob/hipster.txt;11986;26941;33761;24412;94290;../data/blob/hipster.txt;../data/blob/hipster.txt;16829;../data/blob/hipster.txt;../data/blob/hipster.txt;32320;../data/blob/hipster.txt;../data/blob/hipster.txt;21876;../data/blob/hipster.txt;../data/blob/hipster.txt;51879;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
4;55810;70301;../data/blob/hipster.txt;40383;36362;6489;97178;25391;../data/blob/hipster.txt;../data/blob/hipster.txt;96244;../data/blob/hipster.txt;../data/blob/hipster.txt;24687;../data/blob/hipster.txt;../data/blob/hipster.txt;25178;../data/blob/hipster.txt;../data/blob/hipster.txt;69630;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
5;49724;71227;../data/blob/hipster.txt;30087;14808;28484;99774;3688;../data/blob/hipster.txt;../data/blob/hipster.txt;26678;../data/blob/hipster.txt;../data/blob/hipster.txt;60956;../data/blob/hipster.txt;../data/blob/hipster.txt;97661;../data/blob/hipster.txt;../data/blob/hipster.txt;50267;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
6;41103;5147;../data/blob/hipster.txt;3305;27864;34507;90826;63435;../data/blob/hipster.txt;../data/blob/hipster.txt;23956;../data/blob/hipster.txt;../data/blob/hipster.txt;68070;../data/blob/hipster.txt;../data/blob/hipster.txt;14489;../data/blob/hipster.txt;../data/blob/hipster.txt;53093;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
7;48945;44778;../data/blob/hipster.txt;98565;55289;24205;59269;67213;../data/blob/hipster.txt;../data/blob/hipster.txt;8085;../data/blob/hipster.txt;../data/blob/hipster.txt;76161;../data/blob/hipster.txt;../data/blob/hipster.txt;36965;../data/blob/hipster.txt;../data/blob/hipster.txt;23763;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
8;24215;72821;../data/blob/hipster.txt;80313;36778;47030;63230;98342;../data/blob/hipster.txt;../data/blob/hipster.txt;63352;../data/blob/hipster.txt;../data/blob/hipster.txt;39882;../data/blob/hipster.txt;../data/blob/hipster.txt;53577;../data/blob/hipster.txt;../data/blob/hipster.txt;81643;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
9;9028;79834;../data/blob/hipster.txt;83530;15071;32078;50819;18651;../data/blob/hipster.txt;../data/blob/hipster.txt;69581;../data/blob/hipster.txt;../data/blob/hipster.txt;4077;../data/blob/hipster.txt;../data/blob/hipster.txt;85835;../data/blob/hipster.txt;../data/blob/hipster.txt;59089;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
10;32595;67756;../data/blob/hipster.txt;22024;1658;71114;51209;80950;../data/blob/hipster.txt;../data/blob/hipster.txt;22649;../data/blob/hipster.txt;../data/blob/hipster.txt;34866;../data/blob/hipster.txt;../data/blob/hipster.txt;64517;../data/blob/hipster.txt;../data/blob/hipster.txt;9617;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
