id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;69597;68849;40895;5819;17329;91521;15643;44235;25024;23978;54922
2;9387;71459;18286;66019;93461;27993;63827;95486;51669;73789;65711
3;55435;43567;61172;73003;41960;4771;24773;56603;35597;15864;75784
4;12016;1439;34187;11607;9179;4600;9415;4072;31141;85546;97951
5;70365;17533;47417;1716;9783;76336;49161;80691;47347;34630;17320
6;46467;43385;64977;39850;4805;61585;94914;63509;88668;4530;26089
7;37461;1530;62585;93343;50313;50103;85648;53937;65869;68396;16293
8;61585;7056;94389;64241;94425;2651;86719;58577;63640;94023;80094
9;57547;67716;38816;57336;64328;12850;45825;81120;54561;82063;94146
10;62593;38610;82042;96119;65148;90535;20668;19579;27396;6936;21458
