id;set_id;number;name;symbol_type;image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop
1;93075;56186;../data/blob/hipster.txt;85841;../data/blob/hipster.txt;../data/blob/hipster.txt;23859;../data/blob/hipster.txt;42899;67984;75087
2;73990;75454;../data/blob/hipster.txt;23823;../data/blob/hipster.txt;../data/blob/hipster.txt;10312;../data/blob/hipster.txt;37772;90255;53432
3;50525;49656;../data/blob/hipster.txt;82645;../data/blob/hipster.txt;../data/blob/hipster.txt;38961;../data/blob/hipster.txt;32004;29763;89552
4;9998;38920;../data/blob/hipster.txt;5348;../data/blob/hipster.txt;../data/blob/hipster.txt;1083;../data/blob/hipster.txt;95854;90538;84714
5;9128;35490;../data/blob/hipster.txt;31931;../data/blob/hipster.txt;../data/blob/hipster.txt;95680;../data/blob/hipster.txt;95006;67676;95060
6;48252;57343;../data/blob/hipster.txt;49302;../data/blob/hipster.txt;../data/blob/hipster.txt;63183;../data/blob/hipster.txt;8328;44844;9170
7;29321;60244;../data/blob/hipster.txt;32866;../data/blob/hipster.txt;../data/blob/hipster.txt;55370;../data/blob/hipster.txt;67251;21272;75237
8;94619;79157;../data/blob/hipster.txt;78129;../data/blob/hipster.txt;../data/blob/hipster.txt;78961;../data/blob/hipster.txt;11346;9120;93092
9;49442;97424;../data/blob/hipster.txt;5755;../data/blob/hipster.txt;../data/blob/hipster.txt;99593;../data/blob/hipster.txt;54952;5587;44153
10;73703;88770;../data/blob/hipster.txt;54591;../data/blob/hipster.txt;../data/blob/hipster.txt;35091;../data/blob/hipster.txt;70583;11706;96865
