id;area_type;dribble_rate;passing_rate;onetwo_rate;shoot_rate;volley_shoot_rate;heading_shoot_rate;tackle_rate;block_rate;pass_cut_rate;clear_rate;compete_rate;trap_rate
1;49262;25368;1135;40520;46866;57147;5630;74097;11881;76719;11752;82279;64921
2;74421;74604;68103;58336;23750;96217;40022;37487;47771;28571;8289;86859;52837
3;22359;43633;96322;80210;1215;97790;96987;55600;4315;32268;89114;4340;52770
4;92464;99296;91911;7379;25299;55385;69541;96930;7543;52309;16621;62939;21680
5;69574;29449;45454;99583;62755;69692;58431;38420;90115;73710;4544;91525;28096
6;95870;95041;5786;89026;39452;45565;10675;62013;33566;27738;16967;18812;64684
7;46369;38826;35335;22939;58365;26593;7773;36034;97439;25994;98621;45324;69816
8;3231;53609;27976;30952;41120;81379;60278;68473;27095;16261;13318;91092;7620
9;82253;94053;94979;41663;72571;58116;61341;91917;41824;8274;93272;87666;86606
10;55158;4521;16483;2636;41125;37646;77760;81055;48037;98727;98528;15041;37673
