id;group_id;content_type;content_id;content_amount;main_action_level;description
1;75527;86468;12771;60848;82606;6261636b2d656e642070726f746f636f6c
2;3616;11764;30312;22735;26311;64796e616d696320496e6372656469626c65
3;93695;23905;55380;50972;30552;6d6f7270682056696c6c616765204175746f204c6f616e204163636f756e74
4;51567;16176;91939;78627;49696;506c616e6e6572206e617669676174696e67
5;20851;50115;93059;39717;11636;7175616e74696679696e67207768697465626f617264
6;87797;53248;86805;72142;80592;6469676974616c
7;30467;81873;8091;32252;40298;4b6579626f617264
8;69495;22361;34609;95732;97561;696e766f6963652067656e65726174696e67
9;13252;47935;86201;31372;92275;41766f6e20506572736f6e616c204c6f616e204163636f756e74
10;76480;82933;17483;31753;50256;7265766f6c7574696f6e697a65204d6574616c206c656164696e672d65646765
