id;cutin_image_asset_name;sound_event_suffix
1;4b7761636861;416e74617263746963612028746865207465727269746f727920536f757468206f6620363020646567205329
2;70726f6772616d6d696e6720626c756520696e6e6f76617465;70696e6b2053514c2070726f6772616d6d696e67
3;48616e646d61646520636f7079;5475726e70696b65207175616e74696679696e6720486172626f72
4;4e6574776f726b6564207472616e736d697474696e67;6261636b2d656e642042696b652062616e647769647468
5;4572676f6e6f6d69632070726f6772616d20706c6174666f726d73;6f75742d6f662d7468652d626f7820457874656e73696f6e2063616c63756c617465
6;652d636f6d6d65726365204c6f75697369616e61;73796e74686573697a696e67205374726565747320456e67696e656572
7;4d757369632066656564;65787472616e6574
8;4d6f7669657320436f6c6f6d6269616e205065736f20556e696461642064652056616c6f72205265616c2050697a7a61;566973696f6e2d6f7269656e74656420627970617373696e67
9;47656e65726963;5661747520426564666f72647368697265
10;737469636b79;53686f6573
