id;name;short_name;description;rarity;attribute;action_rarity;gain_action_exp;coin;sell_medal_id;thumbnail_assets_id;card_illust_assets_id;target_action_command_type;target_character_id;mcardthumbnailassets_id
1;73797374656d73;496e746572616374696f6e732053534c207472616e736d6974;48616e64637261667465642046726573682042616c6c20696e766f69636520534d5450;18;56044;16908;11098;38975;44705;37950;46035;22673;86456;4
2;436f74746f6e20776562207365727669636573;536c65656b2073796e6572676965732050726163746963616c20536f6674204368616972;5370656369616c6973742046726573682063617264;97277;91077;82603;75396;69931;80490;83946;1800;98179;96281;7
3;4b616e736173204175746f204c6f616e204163636f756e742046616c6b6c616e642049736c616e647320284d616c76696e617329;52535320436f6e6372657465;4772616e697465204572676f6e6f6d696320436f6e63726574652042696b6520536d616c6c205275626265722053686f6573;28382;30126;82453;59835;7424;29723;22635;29991;73024;74319;6
4;556e6272616e6465642046726573682050697a7a61;43726f617469616e204b756e61204d6f6e6579204d61726b6574204163636f756e74205072696e636970616c;436865636b696e67204163636f756e74;53131;23951;83815;79457;28529;3467;42918;58280;26777;99543;8
5;4e65627261736b61206465706f7369742053747265616d6c696e6564;496e766573746d656e74204163636f756e74;62616e647769647468;52523;90962;3264;66920;86855;82928;6468;87897;95582;57177;1
6;4e6f727468204b6f7265616e20576f6e20496e6372656469626c65;766f7274616c73206861636b204d6f6e6579204d61726b6574204163636f756e74;5461626c6520536f617020576562;44524;59169;78880;70263;63960;23743;67642;51236;13169;10422;3
7;6f6e6c696e6520546563686e696369616e;526573706f6e7365;53686f616c20416e616c797374;26895;63410;40697;7093;89148;25439;292;36185;3976;47249;7
8;436f72706f72617465;686f6c6973746963;48696768776179204d616e6f727320536176696e6773204163636f756e74;46974;61078;44746;28068;47428;20699;59086;51657;53700;550;9
9;496e74656c6c6967656e74204672657368204368616972;476f7267656f7573207765622d656e61626c656420726564756e64616e74;74616e20656d706f776572;4438;93175;27782;39701;81668;8709;28456;61706;81820;11383;6
10;584d4c2055746168;4275636b696e6768616d7368697265;546173747920436f74746f6e204b6579626f61726420526573706f6e7365205368697274;38987;42182;72986;41102;88225;90761;67094;71403;25817;60790;7
