id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;6707;39731;74996;42678;20990;79978;89805;34938;20513;46823;19068
2;62497;3654;37772;47206;83656;56484;58745;6570;29404;77552;71405
3;45328;52764;52439;53445;44076;48108;40076;49701;55964;76535;15524
4;10298;18192;33436;86178;7550;94611;75324;37330;27230;27074;89743
5;64399;52657;40873;80074;2538;97893;15615;83978;71597;86699;65892
6;40798;2709;55172;22197;25388;23107;19611;67189;50550;1971;59504
7;10410;33927;79991;56944;17854;88746;65274;55672;23818;72081;9944
8;80531;24317;98872;72226;60319;85569;80685;83021;96264;39718;94440
9;66808;14108;20498;40639;29314;32399;89633;8692;1300;63324;8550
10;73590;20788;84812;2653;12277;18143;87644;58304;64292;42142;70394
