id;set_id;number;name;image_path;background_image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop
1;89267;91062;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;81744;../data/blob/hipster.txt;62476;34181;33586
2;25942;82510;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;37969;../data/blob/hipster.txt;36305;59029;3422
3;26806;83065;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;62414;../data/blob/hipster.txt;34519;40941;77383
4;55204;36275;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;43612;../data/blob/hipster.txt;86106;29446;21951
5;94845;97454;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;76360;../data/blob/hipster.txt;77975;14011;11423
6;86846;56577;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;48743;../data/blob/hipster.txt;98536;89455;47106
7;79985;18210;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;42521;../data/blob/hipster.txt;48477;2246;51245
8;26867;74168;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;54163;../data/blob/hipster.txt;69884;63347;40255
9;25788;21802;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;13935;../data/blob/hipster.txt;64505;83493;42170
10;98440;13227;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;52569;../data/blob/hipster.txt;90057;17167;69122
