id;name;announce_name;short_name;character_book_priority
1;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;27230
2;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;68318
3;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;1839
4;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;82258
5;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;91429
6;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;52966
7;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;11775
8;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;81505
9;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;57651
10;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;49809
