id;action_cut_id;character_id;activator_position;participant_position_1;participant_position_2;participant_position_3;participant_position_4;participant_position_5;id_id
1;49549;70492;68840;59828;43482;45968;24640;7593;9
2;7776;79941;233;69469;96769;27214;525;59023;2
3;36097;31459;9158;80743;91731;96209;13681;79001;10
4;69056;44600;52130;18513;8670;54190;95817;87294;8
5;73222;63894;80656;75903;65878;72410;69227;63723;9
6;98057;24966;90336;48942;64666;22120;69317;98766;1
7;94405;66991;3942;4416;70557;58826;92524;99935;2
8;55580;56794;47321;91548;31285;3394;12052;69742;8
9;29734;19259;92439;11528;97105;42176;94426;79534;5
10;74506;86204;5488;84454;45514;31910;52243;82891;7
