id;jhi_key;jhi_value
1;496e6372656469626c65204d6574616c20486174;22674
2;4575726f7065616e20556e6974206f66204163636f756e74203928452e552e412e2d3929204d697373696f6e;77355
3;537465656c20436865636b696e67204163636f756e74;27847
4;41445020436f6e66696775726174696f6e;99639
5;617578696c69617279;75373
6;77686974652070726f616374697665;46568
7;6861636b20496e766573746f7220626c61636b;92236
8;4963656c616e64204b726f6e61;61077
9;6d61726f6f6e2048616e646d61646520527562626572204b6579626f61726420696e766f696365;21078
10;4e6f7274682044616b6f7461;85649
