id;playable_card_id;level;action_main_level;action_sub_1_level;action_sub_2_level;action_sub_3_level;action_sub_4_level;plus_rate
1;29630;71555;23360;58910;4209;27726;1787;91033
2;98772;4510;42777;10946;38432;39163;67964;12443
3;21825;95641;94996;79798;78634;25898;8941;58855
4;41758;98233;87911;88419;94473;60079;46740;90372
5;61341;98918;16703;74335;99116;6498;23167;40158
6;94273;83782;64964;23056;60773;83064;51268;12033
7;23066;4694;17652;38409;22048;3673;18643;95727
8;77958;82620;35012;80076;5784;62977;96910;21632
9;88378;51826;92775;59727;99490;52503;17389;26023
10;39624;51524;75823;49118;69602;99633;15389;89743
