id;name;fp_a;fp_b;fp_c;fp_d;fp_e;fp_f;gk_a;gk_b;show_environmental_effect;cut_type;group_id;is_combi_cut
1;7365636f6e6461727920536f6674204272616e64;78420;687;46239;21244;86496;66352;24945;41119;71712;40240;85613;88458
2;4c65676163792050726f64756374;31387;29885;69105;10705;27163;44005;19060;72971;18463;94022;34210;60379
3;494220627970617373696e67;17334;73492;48581;53145;11692;28794;68215;49281;94989;29994;13708;59608
4;652d636f6d6d6572636520536f617020436f74746f6e;54669;35513;90241;4524;34395;21790;73300;1517;65866;58141;93155;10585
5;434f4d204e6f72666f6c6b2049736c616e6420426f6e64204d61726b65747320556e697473204575726f7065616e20436f6d706f7369746520556e69742028455552434f29;41085;39951;56057;32679;94265;1081;8273;82655;25393;80098;77998;10445
6;41726b616e736173;46398;36154;11870;9216;98056;58507;21469;22627;6723;89569;59484;78350
7;4b77616e7a61204372656469742043617264204163636f756e7420455845;22306;10326;87310;17252;78949;56797;74816;29635;56125;93831;24624;81874
8;436f6e73756c74616e74203474682067656e65726174696f6e;96972;78205;43123;24007;34751;14430;5034;11570;5276;2725;69201;52358
9;7768697465204f7263686573747261746f72;57443;25285;13788;57763;68876;35920;89774;82355;74517;82069;7643;47735
10;696d7061637466756c2073747261746567696320617578696c69617279;32817;55731;20905;15603;8468;83459;46669;35833;48213;91289;84090;56568
