id;jhi_key;param;cut_sequence_text
1;6d61726f6f6e;546f77656c73;53706f727473
2;52757374696320436f74746f6e2042696b652048617420534d53;496e74656c6c6967656e7420696e7374616c6c6174696f6e;706f727420506172616469676d20676f6c64
3;556e6272616e646564204772616e6974652053616c6164206578706564697465206d6967726174696f6e;65766f6c7665;696e7465726e657420736f6c7574696f6e2048616e646372616674656420536f6674205461626c6520696e6e6f76617465
4;70726f6772616d6d696e67204d6574616c;42656175747920436f6e66696775726174696f6e204d616e6461746f7279;6472697665
5;426564666f72647368697265206170706c69636174696f6e73204d756c74692d746965726564;426564666f72647368697265207375706572737472756374757265;70696e6b2048545450
6;736f6c7574696f6e2d6f7269656e74656420436c6f7468696e67;59656d656e69205269616c204772617068696320496e746572666163652052652d636f6e7465787475616c697a6564;63757474696e672d65646765
7;73796e74686573697a696e6720657870657269656e63657320436f74746f6e;626c7565746f6f746820686575726973746963;617578696c69617279204f7263686573747261746f72206f6c697665
8;4e6f727468204b6f7265616e20576f6e20506c6173746963;6d696e7420677265656e2047656e657269632046726573682042696b6520652d7461696c657273;5475726b6d656e697374616e207573657273
9;576f6f64656e;636f6e74656e74207472616e736d6974;62616e647769647468204a6f7264616e69616e2044696e6172207363616c61626c65
10;4d6f76696573206465706f736974204d6f6e6579204d61726b6574204163636f756e74;496e74656c6c6967656e74;53706f727473
