id;shoot_orbit;shoot_result;offense_sequence_text;defense_sequence_text
1;87153;99014;../data/blob/hipster.txt;../data/blob/hipster.txt
2;97348;67605;../data/blob/hipster.txt;../data/blob/hipster.txt
3;96887;44595;../data/blob/hipster.txt;../data/blob/hipster.txt
4;74965;64757;../data/blob/hipster.txt;../data/blob/hipster.txt
5;13008;59439;../data/blob/hipster.txt;../data/blob/hipster.txt
6;75826;38361;../data/blob/hipster.txt;../data/blob/hipster.txt
7;2458;6562;../data/blob/hipster.txt;../data/blob/hipster.txt
8;2212;82151;../data/blob/hipster.txt;../data/blob/hipster.txt
9;32361;37183;../data/blob/hipster.txt;../data/blob/hipster.txt
10;48864;81878;../data/blob/hipster.txt;../data/blob/hipster.txt
