id;target_formation_group_id;target_character_group_min_id;target_character_group_max_id;target_playable_card_group_min_id;target_playable_card_group_max_id;target_rarity_group_id;target_attribute;target_nationality_group_min_id;target_nationality_group_max_id;target_team_group_min_id;target_team_group_max_id;target_action_group_min_id;target_action_group_max_id;target_trigger_effect_group_min_id;target_trigger_effect_group_max_id;target_character_min_count;target_character_max_count;target_playable_card_min_count;target_playable_card_max_count;target_rarity_max_count;target_attribute_min_count;target_nationality_min_count;target_nationality_max_count;target_team_min_count;target_team_max_count;target_action_min_count;target_action_max_count;target_trigger_effect_min_count;target_trigger_effect_max_count;target_character_is_starting_min;target_character_is_starting_max;target_playable_card_is_starting_min;target_playable_card_is_starting_max;target_rarity_is_starting;target_attribute_is_starting;target_nationality_is_starting_min;target_nationality_is_starting_max;target_team_is_starting_min;target_team_is_starting_max;target_action_is_starting_min;target_action_is_starting_max;target_trigger_effect_is_starting_min;target_trigger_effect_is_starting_max
1;77040;25250;68329;102;44590;15893;27362;46853;99712;94430;42618;10219;45138;85420;16362;52702;79480;82592;69368;29837;22076;83994;8238;77282;68049;23005;65451;13133;27325;86805;95086;96323;15105;3130;43233;73127;94361;90952;41972;85736;63852;96452;39759
2;76009;27421;44229;98397;31195;40933;32074;89409;72442;22995;74583;21310;20035;3113;86812;65166;71492;36852;56275;86435;47153;47320;54323;96819;15924;18552;20370;86862;9116;77659;15365;77092;45369;84478;53035;76102;1786;62622;79679;13124;29416;3252;91183
3;92084;96751;61665;18545;79653;46209;48152;123;11730;59832;12518;60730;68556;24753;43030;55841;20052;22554;49159;16082;6420;65151;58197;32592;26899;59026;79755;43324;31036;98435;45522;14958;1162;46459;7244;68045;39249;39554;47993;97469;60002;72188;29166
4;65698;69498;75705;86012;95264;77985;90781;3961;72428;48050;74916;10493;14592;24204;10279;98666;57090;14249;1836;49888;48235;61815;21034;70246;34601;55964;77580;977;94123;32646;7241;51771;53424;8786;88253;35062;8250;3320;82451;7857;35780;39692;32209
5;13271;97746;56754;20085;68946;69319;80058;82144;20015;4118;16748;67038;10456;95154;63643;12421;70647;89622;3158;59477;93621;61660;5197;61294;54129;29883;70906;93520;87096;94735;71408;62530;80172;78342;33945;61225;81482;48439;8011;66082;89481;55300;54759
6;59747;81729;78383;45231;48090;64357;4075;52640;16399;73158;43860;8162;72482;6035;59327;24710;65029;15954;47927;87178;61574;21921;32901;97586;47018;33689;74427;18211;87183;78969;43365;65870;4366;49819;16167;55536;2086;71920;65326;22845;33231;99633;54247
7;97479;49327;65032;8152;19954;40326;68022;22056;7219;41839;3065;20357;25768;84045;46262;17419;86827;96078;72716;41590;74270;84624;42549;62876;34593;73535;37103;76772;98764;50484;4010;54330;86703;51399;57867;58805;43861;2939;72525;39551;48666;60618;87342
8;59772;90070;79295;42172;65500;27682;99213;59235;28385;91236;35915;21066;38384;62296;46581;63156;83599;73311;23579;13156;77600;71582;40531;90903;60185;17968;63254;23754;37284;97139;51261;18097;41303;85438;6913;49227;43716;24723;9739;87074;40502;44530;59291
9;51481;57941;35923;66262;59295;9526;16352;65212;39108;31214;96941;39904;25813;85798;65673;903;32519;58841;77347;59871;13087;39665;96982;23702;45378;23467;23605;88370;7349;44202;16975;33088;51977;44877;33700;66939;82888;14575;43088;44943;24871;58788;61714
10;94858;70677;25252;16704;35925;16761;37935;3667;60553;73640;35673;66380;53351;47463;78179;84417;70538;80567;44636;58535;86421;86827;55814;20584;53990;11191;3418;26974;98669;5708;12297;53116;23113;93660;5169;3934;64000;12210;22470;45219;18001;93387;8855
