id;jhi_key;jhi_value
1;7468726f756768707574;58921
2;477265656e20436c6966662044697265637469766573;98403
3;6261636b2d656e64;75675
4;457468696f7069616e20426972722050616e7473;5910
5;5277616e6461204672616e6320636170616369746f72205275737469632046726f7a656e205368697274;9114
6;616e616c797a696e67205541452044697268616d;16987
7;47656e6572696320506c617374696320536869727420636f6e6e65637420746563686e6f6c6f67696573;65297
8;4b656e7475636b79;2221
9;457865637574697665;4142
10;506c616e6e6572205265756e696f6e205370656369616c697374;11475
