id;ball_float_condition;jhi_condition;encounters_type;is_success;command_type;success_rate;loose_ball_rate;touch_lightly_rate;post_rate
1;88900;17415;56930;54688;63172;71445;51874;44462;5116
2;2708;23285;44926;49200;29644;31023;92964;18176;12461
3;50413;65247;32280;5271;25810;44617;46398;55397;13328
4;29795;92774;45507;86770;16355;70762;30412;10621;62110
5;77587;30180;80795;89974;76776;62840;11396;43864;64390
6;3875;83432;49954;57735;76477;64640;26555;45836;80677
7;52870;25180;3437;82374;63896;8526;8144;86618;43501
8;49918;29265;29653;54542;26511;13341;43201;69164;99904
9;79501;22032;16335;10321;10431;58503;14551;48854;87712
10;52419;52818;66693;46726;26714;10671;91066;64955;43567
