id;jhi_condition;ball_float_condition;command_1_type;command_1_is_skill;command_2_type;command_2_is_skill;result;shoot_result;is_thrown;offense_sequence_text;defense_sequence_text
1;72532;22300;83637;40789;97443;34778;97560;2164;6527;7175616e74696679696e67;5448582041766f6e
2;53919;65018;25509;98248;76787;91181;75179;43913;58836;67726579;627970617373696e67
3;70149;59269;45934;82503;5510;85833;42689;46362;46902;55736162696c697479207769746864726177616c204772617068696320496e74657266616365;4272616e6420686f6c6973746963
4;91387;36005;98104;47786;66181;35528;81689;68251;74954;53776564697368204b726f6e6120646174612d77617265686f757365;666f6375732067726f7570
5;12525;66693;65550;10252;3979;1191;59768;13969;86969;5072696e636970616c20576179204d657773;534d5450
6;73682;82125;50104;24465;57276;42130;13722;83883;93766;32342f37204f72636861726420436170652056657264652045736375646f;476f7267656f757320496e766573746f72
7;82050;2498;76003;72072;4876;51402;84372;60575;43804;6261636b2d656e64204d6f6e61636f;456c2053616c7661646f7220436f6c6f6e20555320446f6c6c6172
8;75311;58243;72745;18659;86961;18823;18944;18424;40114;496e7472616e6574;627970617373696e6720426561757479
9;4900;10949;57277;20285;81949;99831;32673;54136;34961;506572736f6e616c204c6f616e204163636f756e74;53757065727669736f72
10;44073;73522;26040;62564;83839;58075;71562;74168;68694;44796e616d6963204e65772049737261656c692053686571656c2062616e6477696474682d6d6f6e69746f726564;506c61737469632053797269616e20506f756e6420484444
