id;effect_path;bgm_sound_event;se_sound_event;voice_sound_event_suffixes;copyright_text;start_at;end_at
1;47656e6572696320426564666f72647368697265207363616c61626c65;6d756c74692d62797465;6d6964646c6577617265207472616e736d6974;516174617269205269616c;7072696d61727920446f6272612043616d6272696467657368697265;95030;28613
2;6465706f736974;776562207365727669636573;4175746f6d6f74697665;6d696e7420677265656e20776972656c657373;42696b65205072652d656d70746976652041766f6e;91483;48357
3;47616d6573;706172736520426564666f726473686972652044796e616d6963;63616c63756c617465;546f74616c;4f68696f;35077;59368
4;636f6e6e65637420737570706f727420566961;436869707320486f6d65;7472616e736974696f6e616c2070726f6163746976652054656e6e6573736565;556e696f6e73;73797374656d2d776f72746879;89581;19666
5;4272616e64696e67;496e766573746f72;566572736174696c65;526170696420496d706c656d656e746174696f6e;4672656e636820506f6c796e65736961204578707265737377617920496e6372656469626c6520467265736820436f6d7075746572;33568;14386
6;536c65656b20636f6e76657267656e6365;52757374696320696e6672617374727563747572657320506f7274;6675636873696120417765736f6d6520436f6d7075746572;5374616e642d616c6f6e652050616e7473204d6574616c;437a6563682052657075626c696320446f6d696e6963616e205065736f;68267;5469
7;436f6d70757465727320536d616c6c;4c616e65;426f7264657273204672657368206d6574686f646f6c6f67696573;4d6f7573652041666768616e69;57616c6c2052616e64204e616d6962696120446f6c6c6172205075626c69632d6b6579;13180;24361
8;6f70656e2d736f7572636520496e74656c6c6967656e74206f70746963616c;6e617669676174696e6720506c617a61204265726b7368697265;6d61726b657473;52686f64652049736c616e64;4469766973696f6e;94075;94049
9;4163636f756e746162696c697479;706978656c;436972636c65;6469646163746963204c656164206465706f736974;656e642d746f2d656e6420706172616469676d20617578696c69617279;68056;37532
10;496e766573746d656e74204163636f756e74;4c6963656e736564;55706772616461626c6520696e766f696365207472616e736974696f6e;436f6d707574657220536d616c6c205275626265722053616c6164;636c69656e742d64726976656e206261636b696e6720757020417373697374616e74;21143;7679
