id;menu_message;start_at;end_at;jhi_type;add_extension
1;62616e647769647468;67888;96544;23679;91581
2;4275636b696e6768616d7368697265;79511;63017;13574;98849
3;636f6d70656c6c696e672052757374696320536f667420476c6f7665732042687574616e;21320;27171;78172;81595
4;696e63656e746976697a65;8839;9252;34222;39943
5;652d636f6d6d65726365204265726b73686972652070616e656c;90610;98617;13773;82084
6;32342f37;7006;14362;5662;65794
7;68617264206472697665;78650;92876;24370;49674
8;696e646578696e67;44588;6318;70858;61114
9;4f66666963657220766972616c2063616c63756c617465;50003;7069;12781;36154
10;4672656e636820506f6c796e657369612053757065727669736f72;47453;63492;81605;85893
