id;main_prefab_name;result_expected_up_prefab_name;result_question_prefab_name;sound_switch_event_name
1;6465706f73697420436f6e637265746520496e7465726e616c;6c6176656e646572;4372656469742043617264204163636f756e74;652d656e61626c65
2;4e696765726961206173796e6368726f6e6f7573207061727365;4d756c74692d746965726564206772616e756c617220657874656e64;4c696279616e2044696e6172;4d6574616c20656e68616e636520706c75672d616e642d706c6179
3;4c6963656e73656420626f74746f6d2d6c696e65204775696e65612d426973736175;696d706c656d656e7420436865657365;63726f73732d6d65646961207265696e76656e742063726f73732d706c6174666f726d;536d616c6c20536176696e6773204163636f756e74
4;4d657472696373;63726f73732d706c6174666f726d;426f72646572732043616d6272696467657368697265;4c696279616e2041726162204a616d61686972697961
5;7365697a65;6861636b696e67207769746864726177616c207769746864726177616c;652d656e61626c6520696e766f69636520626c7565;5265756e696f6e
6;4275636b696e6768616d736869726520652d6d61726b657473204d6f757365;617578696c69617279;4572676f6e6f6d6963204d6973736973736970706920436f72706f72617465;6672696374696f6e6c657373
7;436f74746f6e;417267656e74696e6120506572736f6e616c204c6f616e204163636f756e74;555320446f6c6c6172204d616e61676572;4772616e69746520636f6e6e656374696e67204d6f757365
8;5374726565747320476c6f62616c20546173747920467265736820436f6d7075746572;737570657273747275637475726520696e766f696365;534452206465706f736974;537061696e20576973636f6e73696e
9;636f6d7072657373204d6f6e6579204d61726b6574204163636f756e74;7472616e736d697474696e6720736b7920626c7565;6d756c74692d62797465204275636b696e6768616d73686972652048616e646d61646520436f74746f6e204d6f757365;44656c617761726520534444
10;56656e657a75656c612050726163746963616c;536f6674;526570726573656e7461746976652063617264;534d532053514c206f70656e2d736f75726365
