id;rendition_id;is_ssr;weight;cut_in_bg_prefab_name;se_start_cut_in
1;8325;70215;72455;61636365737320776972656c657373;4865616c746820696e766f696365
2;16361;38236;56560;4265726b736869726520546f6f6c73;4d6f726f63636f206f70746963616c
3;36176;88864;52425;4c656f6e652064796e616d6963;706c75672d616e642d706c6179
4;19446;72353;56194;6d6f64657261746f7220536d616c6c;4372656469742043617264204163636f756e74204265726b7368697265204261726261646f73
5;35942;42629;8147;6f6c69766520506172616469676d;4c6562616e65736520506f756e642048545450
6;23748;3756;97891;64656c6976657220696d7061637466756c20636f6d6d756e6974696573;6861636b
7;16823;41443;18993;5475726e70696b65206d756c74692d7461736b696e6720436f6e666967757261626c65;47756172616e6920696e766f696365
8;80576;41770;82524;414750;446576656c6f706572204d6f6e6579204d61726b6574204163636f756e74
9;70973;99933;735;41766f6e;546f77656c73
10;77587;92077;44678;4d6f756e7461696e73204469766973696f6e204368696566;44616e697368204b726f6e65
