id;is_ssr;weight;color
1;6489;84848;4675747572652052657075626c6963206f66204b6f726561
2;62942;45546;536f7574682044616b6f7461
3;35677;63212;426f7264657273
4;6010;83020;7061796d656e74206d697373696f6e2d637269746963616c20436f6d6d756e69636174696f6e73
5;91220;67746;417267656e74696e61
6;71810;74130;70617273696e67204173736f6369617465
7;88983;10624;486174204e65746865726c616e647320416e74696c6c69616e204775696c646572
8;64559;24665;526f7720486f6d65204c6f616e204163636f756e742057796f6d696e67
9;74263;26610;67656e65726174696e67
10;42679;8814;6d6f64656c732063616c63756c617465
