id;rendition_id;is_many_ssr;is_ssr;weight;left_model_id;left_uniform_up_id;left_uniform_bottom_id;left_uniform_number;right_model_id;right_uniform_up_id;right_uniform_bottom_id;right_uniform_number;cut_in_sprite_name;left_message;right_message;voice_trigger;voice_start_cut_in;kicker_id
1;62000;33630;34022;32860;85592;28491;43467;47828;19283;18063;19110;48563;706f72742053686f657320456c656374726f6e696373;696e7465726e657420736f6c7574696f6e;585353204175746f6d6f74697665;79656c6c6f77206e6578742d67656e65726174696f6e2053686f6573;7769746864726177616c2043616d6272696467657368697265;47704
2;93000;83489;38356;75588;49173;48340;89623;11163;80670;11540;365;80153;4972656c616e64;5075626c69632d6b65792066756368736961;4372656469742043617264204163636f756e74;7265616c2d74696d652046616e74617374696320436f6e63726574652042616c6c206e657572616c;67726f7720446973747269637420546173747920537465656c204d6f757365;92700
3;21535;64845;29186;37959;17275;75506;37936;67232;91083;53120;61534;9887;736f6c69642073746174652048545450;66756368736961;48444420417267656e74696e61;7365697a65207769746864726177616c;616c61726d20465450206465706f736974;51159
4;42711;15892;12875;5345;94762;44569;47517;4934;31725;56933;76630;38272;636f70792070726f746f636f6c;455845205541452044697268616d;417765736f6d6520506c617374696320436865657365;576f6f64656e205265616c69676e6564204a424f44;3130383070;24294
5;47377;90836;44677;9310;709;46814;81939;88754;35982;64126;54076;41364;6e65757472616c2070726f64756374697a6520426f7264657273;7265646566696e65;5765622053514c20696e66726173747275637475726573;70726f6772616d6d696e672063757474696e672d65646765207769746864726177616c;436f6e63726574652047656e65726963;57706
6;6068;64262;41334;84984;54661;29251;43604;16747;74867;37900;82792;35357;537465656c20436170652056657264652045736375646f20426f7264657273;4964656e7469747920636f7079696e6720696e646578696e67;414450;53746174696f6e;766572746963616c;85461
7;94690;80220;24071;34876;23994;69387;8337;15963;92850;89628;57973;40449;556e696f6e732061727261792067656e65726174696e67;48616e646372616674656420436f6e6372657465205368697274;656e7465727072697365204e65772049737261656c692053686571656c207365697a65;537061696e204d75736963;44616e697368204b726f6e65;24872
8;25048;1549;80590;16676;27967;60666;19152;70912;50426;2105;86564;3642;53656e696f72;637573746f6d697a6564;4f7074696f6e616c207472616e736d69747465722074696d652d6672616d65;776972656c65737320496e766573746d656e74204163636f756e742041766f6e;6d6174726978;61688
9;38348;291;15222;941;66670;80879;28428;25939;58577;63613;58676;45421;494220467574757265;44616c6520537769747a65726c616e64207769746864726177616c;4d6172796c616e6420426f72646572732047616d6573;4272616e642076697375616c697a65206170706c69636174696f6e;6469676974616c;13549
10;48708;44756;87825;82942;52725;30267;92987;46774;48379;27279;49044;46355;534153;4f7074696f6e616c20526567696f6e616c;56696c6c61676520426561757479206e6174696f6e616c;626c7565746f6f746820436f74746f6e;766572746963616c20746172676574;24229
