id;is_ssr;is_r_or_less;weight;swipe_icon_prefab_name
1;15484;92449;18292;636c69636b732d616e642d6d6f727461722073796e657267696573
2;62317;97296;7442;4275636b696e6768616d7368697265
3;18262;5827;57397;696e766f696365204e65772048616d70736869726520647269766572
4;33560;25781;76510;766f7274616c7320426564666f72647368697265
5;64810;3294;1835;7061796d656e74204d6f6e6579204d61726b6574204163636f756e74
6;30984;3797;8579;536c65656b204c65676163792054656e6765
7;12710;4317;35672;4b656e7475636b79
8;83557;83835;4366;457874656e646564205072696e636970616c
9;916;32154;20139;4d65747269637320536176696e6773204163636f756e742064796e616d6963
10;6699;48604;2819;4f70656e2d736f75726365204a424f44
