id;rendition_id;is_ssr;weight;sign_texture_name
1;41591;72398;72033;446972656374
2;40804;68840;19127;4275636b696e6768616d7368697265
3;90808;31103;80437;536d616c6c204d6574616c20436869636b656e
4;57189;11326;90746;4772616e6974652053617564692041726162696120434f4d
5;41002;8243;48199;4572676f6e6f6d696320506c61737469632053686f6573206368616c6c656e6765204d6f62696c697479
6;28266;91159;46086;54756772696b20436865657365
7;48644;507;73853;43535320506572736f6e616c204c6f616e204163636f756e7420536f6d616c69205368696c6c696e67
8;12628;77425;94577;4772616e697465207175616e74696679
9;26481;4640;93359;616c61726d207265626f6f74
10;21905;50565;44303;4d6f6e6579204d61726b6574204163636f756e74
