id;world_id;jhi_number;name;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;extra_second_half_npc_deck_id;consume_ap;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;id_id
1;24990;30139;4372656469742043617264204163636f756e74;4d69737369737369707069;4265726b736869726520486177616969;51317;66961;49569;97066;33273;17571;7118;59711;8952;42418;43377;44668;35579;25414;51613;82513;30483;48525;68791;54340;86395;4
2;29886;18180;4572676f6e6f6d6963;536176696e6773204163636f756e7420696e666f6d6564696172696573206d61726f6f6e;706c6174666f726d73204f76616c;36770;52714;10061;73422;30963;5510;66373;88787;66578;70299;28622;21612;46010;18340;19344;43166;21037;81756;2304;84294;89674;6
3;21070;86081;486f6d65;46726f7a656e;627970617373204372657374;75361;64475;95563;33966;77208;70794;84237;55742;76060;25602;16821;65082;83357;11627;19510;53641;89261;43714;45864;26787;67697;7
4;49724;87133;5370656369616c697374;41646d696e6973747261746f7220496e746567726174696f6e;566973696f6e2d6f7269656e746564;47945;84555;36727;61095;91381;4012;36829;90144;37344;55742;38353;86847;83662;83442;65078;83300;61416;69817;33414;29141;81790;4
5;3836;30846;426561757479204d6172796c616e64204d6f726f6363616e2044697268616d;42656c697a6520446f6c6c61722042656175747920544350;496e6372656469626c6520527573746963204d6574616c205461626c65;8105;49632;71645;40364;24962;67866;87771;42089;81314;96141;95783;59927;88376;80747;93332;10935;85874;39729;69338;33684;17025;6
6;27170;86111;47656e65726963;43616d6272696467657368697265;6c6176656e646572204b656e79616e205368696c6c696e67204c6965636874656e737465696e;83289;97151;12508;27623;12978;79239;55681;22523;94637;68146;41499;25361;32694;88373;60668;56147;93044;18593;83692;22436;99548;5
7;2256;96160;7175616e74696679;636f7079696e6720696e7465726d656469617465;7472616e736d6974;78392;5638;32460;36938;72115;50580;65778;56034;95911;72861;93109;35484;78937;61268;72339;58537;27404;54761;84596;64048;42750;3
8;27224;8464;467265736820437573746f6d697a61626c65;53747265657473204275636b696e6768616d7368697265;6469676974616c;35097;82674;40465;83076;39368;29241;19187;87489;6121;77178;59091;41790;98921;74840;16682;96133;4668;45896;77953;23842;25258;10
9;82964;60374;5461737479204d61737361636875736574747320426f7264657273;4d6f756e7461696e207769746864726177616c2052616e6368;4c6965636874656e737465696e;23304;52858;57362;81060;82153;73552;2857;66379;63085;11338;34958;72061;29267;50030;39258;89409;34202;91987;83223;5515;27479;9
10;73315;3769;636f6c6c61626f726174697665;536176696e6773204163636f756e74206d6f6e69746f72;47726f63657279;16859;22377;58079;93253;71438;48810;91664;63044;70549;73427;67177;37110;39434;72010;128;67599;12015;70565;53455;48922;67512;4
