id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;41744;22208;73067;82462;52186;60835;7417;44435;19201;94399;83999
2;4783;72491;85017;89476;99758;11755;88694;99022;81043;20940;37430
3;1177;23131;99742;73485;28107;30457;66801;17603;17668;78652;58022
4;31254;90403;91444;32018;84063;67025;84764;18790;77156;62479;88088
5;33645;80574;21120;60251;31318;29582;17884;88820;90191;84060;39718
6;47287;24527;3907;44840;63854;32053;5059;74441;92627;97121;96163
7;43803;18949;86103;67638;56586;9226;15723;72951;69062;34728;51343
8;68105;65060;37287;88968;14556;44043;40610;90117;11267;75066;57688
9;48860;4095;60322;52731;32558;88636;98359;83787;66735;88278;4384
10;92204;32662;10452;62331;12874;5633;55700;2388;89397;45002;97434
