id;set_id;jhi_number;name;image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop
1;64280;72649;7472616e736d697474696e6720616374696f6e2d6974656d7320696e707574;4b656e7475636b79;44657369676e657220416e616c79737420426f7264657273;93426;56656e657a75656c6120616e616c797a696e67203674682067656e65726174696f6e;92950;93755;17244
2;52987;57963;4c616f2050656f706c6527732044656d6f6372617469632052657075626c69632062616e647769647468;636f6d7072657373206f76657272696465;4d6f6e6579204d61726b6574204163636f756e74;71899;41726b616e736173206369726375697420436f6e6372657465;88247;59298;58239
3;93599;12684;4c616b65732063616c63756c6174696e67204e6174696f6e616c;6e6578742067656e65726174696f6e;48616e646d6164652042616279204c6f75697369616e61;69482;617578696c69617279;34021;55418;652
4;76203;47951;53706f72747320536d616c6c;6d61676e65746963;686575726973746963;58186;546173747920576f6f64656e2042696b65;69525;92230;14214
5;42589;63977;417765736f6d6520436f74746f6e2053617573616765732043686169722048616e646d616465;436869656620537465656c;746563686e6f6c6f67696573;70753;4e65636b20686170746963204b6579626f617264;95959;78;38516
6;81014;34156;544858;476c6f62616c206c696d65;41726b616e73617320536f6170;67419;536f6674;80585;30123;98973
7;46339;37738;44726976652048616e646d61646520537465656c20476c6f766573;6465706f736974205461626c65204e65772054616977616e20446f6c6c6172;4469737472696374;51939;50656e6e73796c76616e6961;66968;26203;96138
8;88171;60266;47656f72676961204b696473204572676f6e6f6d6963;6d617472697820627573;4f7263686573747261746f722046616c6b6c616e642049736c616e647320284d616c76696e617329;78793;627970617373696e67207061796d656e74;33874;50388;46997
9;70876;85791;6669726d77617265;6f6e652d746f2d6f6e652053686f657320657874656e7369626c65;7265626f6f7420636f6e76657267656e6365204469766973696f6e;63247;73797374656d2d776f72746879;63845;1301;28681
10;94475;29363;6861726e657373204a534f4e;42616279204d6172796c616e64;636f6e746578742d73656e7369746976652047726f7570;60358;4173737572616e636520726564;14689;93685;85582
