id;term;title;description;mission_type;param_1;reward_id;jhi_link;scene_transition_param;pickup;trigger_mission_id;order_num;mmissionreward_id
1;6326;4372656469742043617264204163636f756e74;736f6c6964207374617465;82645;52980;91376;66934;70617273696e672042696b652048616e646d61646520467265736820536f6170;31493;26124;12897;10
2;46846;536176696e6773204163636f756e7420426f6f6b73206e656564732d6261736564;496e766573746d656e74204163636f756e74;93581;89510;23400;98265;7769746864726177616c;16163;1892;90584;1
3;51624;50616e7473204469737472696374206261636b207570;6e6578742067656e65726174696f6e206469676974616c20536176696e6773204163636f756e74;75378;68829;44721;21972;737570706c792d636861696e73;78200;32307;78395;9
4;45326;626c7565746f6f7468;4d6574616c204b726f6f6e2050726f64756374;60858;31484;55985;11680;6d6f64756c617220626c61636b20476c656e73;90843;70530;10448;8
5;72026;527570696168;526570726573656e746174697665;10195;56847;40464;36372;7472616e736d6974;25736;9234;69350;7
6;3971;7175616e74696679696e67;7175616e74696679696e6720617263686974656374;52212;67707;40154;77224;53717561726573;61772;27200;45632;8
7;89409;426564666f72647368697265;776972656c657373204d61737361636875736574747320466c617473;74514;40608;21356;82621;526f62757374;52443;82164;80609;1
8;35347;7769746864726177616c2053656375726564;534153;85100;9896;77720;27138;534153;34646;53347;97304;1
9;97973;76616c75652d616464656420556e6272616e646564204d6574616c20436f6d7075746572;62797061737320776972656c657373;27138;3117;47160;87019;436f74746f6e20576f6f64656e20436869636b656e;96026;91163;69316;7
10;80137;666163696c697461746520652d627573696e6573732050726f6669742d666f6375736564;6b6e6f776c65646765207573657220544858;12262;25711;43346;94865;5361757361676573204c696169736f6e;1485;984;48112;3
