id;asset_path;guild_banner_type;start_at;end_at
1;4265726b736869726520656d756c6174696f6e;74030;73110;31276
2;6861636b696e67;59495;52983;79389
3;4f7263686573747261746f72;67915;11793;98495
4;486f6d6520636c69636b732d616e642d6d6f72746172;10785;12693;26230
5;7472616e736d697474696e6720436f6d7075746572732053616e204d6172696e6f;56712;60857;56115
6;49736c6520776972656c65737320537465656c;31057;39624;61572
7;4f75677569796120656d706f7765722052414d;41549;70352;40277
8;546f6f6c732055727567756179;70868;2220;11443
9;73796e65726779;78125;32093;36591
10;4f7065726174697665;67220;82380;19675
