id;banner_type;asset_name;start_at;end_at;label_end_at;scene_transition;scene_transition_param;order_num;appeal_type;appeal_content_id
1;10314;536563757269747920776972656c6573732053686f6573;71200;86992;38495;12619;4d616e617420576973636f6e73696e;48009;12665;49140
2;42063;566965772065766f6c76652076616c75652d6164646564;5226;80570;68553;10816;4f666669636572204175746f204c6f616e204163636f756e74;65086;80256;19889
3;48639;6d6f6e69746f72696e67;63809;90972;28815;98239;6c696d65;13411;4032;5640
4;9476;486f6d6520436861697220496e74656c6c6967656e742046726f7a656e2050616e7473;28880;99098;14926;52354;6c6176656e646572;33481;52016;33030
5;36481;52414d;39499;69519;33500;12025;496d706c656d656e746564;35073;31668;75773
6;67730;6e656564732d6261736564204e65772048616d707368697265;6589;68359;19128;284;466163746f72732046616e746173746963;40624;66407;77103
7;25508;46726f7a656e2050726163746963616c20506c61737469632050697a7a61;15766;81082;17401;98098;536f6c7574696f6e7320437573746f6d657220696e74657266616365;36699;50655;10612
8;56283;7574696c69736174696f6e206f626a6563742d6f7269656e74656420636170616369746f72;87127;80430;19258;16311;546f74616c;34186;34989;16826
9;55131;686f6c697374696320536f6674;58933;42338;52514;450;686965726172636879;52675;79694;32425
10;59042;50726163746963616c;54802;25325;70273;90923;47656e657269632052757374696320537465656c2046697368206e657572616c2d6e6574;66038;2442;73041
