id;priority;marquee_text;start_at;end_at
1;41174;6f70656e2061726368697465637475726520496e6469616e205275706565;21613;66780
2;59087;526567696f6e616c;79780;79084
3;92145;446576656c6f70657220456c656374726f6e69637320536176696e6773204163636f756e74;41283;99608
4;85985;4469676974697a6564;98102;13002
5;61370;6469676974616c;8559;49768
6;18345;7265626f6f7420426f6f6b73;81687;31987
7;1394;7061796d656e7420696e746572616374697665;61149;81566
8;69603;7472616e73706172656e74;10796;49475
9;6964;5665726d6f6e74;52065;64922
10;74220;41766f6e;42244;14110
