id;deck_id;name;formation_id;captain_card_id;gk_card_id;fp_1_card_id;fp_2_card_id;fp_3_card_id;fp_4_card_id;fp_5_card_id;fp_6_card_id;fp_7_card_id;fp_8_card_id;fp_9_card_id;fp_10_card_id;sub_1_card_id;sub_2_card_id;sub_3_card_id;sub_4_card_id;sub_5_card_id;team_effect_1_card_id;team_effect_2_card_id;team_effect_3_card_id
1;18936;70726f6772616d207472616e736d697474696e67;61769;95613;64442;69827;2833;20777;82853;2028;78827;47941;25903;51370;70867;24026;21485;12469;4033;58620;20113;76425;17862
2;99315;696e64657820686170746963;61646;47675;98592;27067;63995;2917;86025;60510;94578;39574;92985;29867;38141;86694;7866;74674;17187;85776;5922;49498;10539
3;13093;466f72696e74;20607;54353;44122;71168;6500;21092;82530;67252;12594;70425;90309;55862;86423;90361;46458;11099;74436;17712;61944;42866;80307
4;12671;536f757468204361726f6c696e61206272616e64;28459;94096;16998;48637;33533;46261;60795;78507;57578;82157;16362;55448;12491;17979;2667;46775;1242;96807;87981;75298;4508
5;81116;4f7574646f6f727320436f726e657273207769746864726177616c;83003;96230;4927;83413;85243;48970;54840;76257;19731;83337;31725;34802;28192;89215;53085;47047;5168;52780;15853;99970;81269
6;84330;32342f37;1034;45337;62617;51712;70391;76361;65080;44733;96786;78986;86297;61834;44883;11309;6285;15633;47605;43703;68924;39688;60770
7;74354;4d6973736973736970706920656d706f776572;17076;27734;22683;50023;57550;16060;42343;34068;51492;32397;17067;58713;66290;6668;85253;82966;25793;56237;49151;67082;97552
8;70309;6d6574686f646963616c;47037;9019;95624;60601;76670;8963;96955;95923;74625;71566;17560;78815;6453;70410;57766;58972;35781;44991;27545;85837;80721
9;95683;426564666f7264736869726520436f6e66696775726174696f6e;58333;84628;53838;35636;45448;83249;20928;85077;371;42393;24150;6647;50972;158;37995;52329;44848;34407;98064;99713;35027
10;77241;6861636b2050726f6772616d;88772;77540;31818;57068;16598;76070;74589;14986;37827;57182;47317;25364;63039;22806;90787;1152;41908;13034;78331;30926;26833
