id;action_cut_id;keeper_cut_action_type;cut_sequence_text
1;11687;69797;486f6d652052414d20456c656374726f6e696373
2;71275;58770;476f7267656f75732046726573682053686f6573
3;96149;41993;76696f6c6574
4;33381;2213;7061796d656e74206d61726b657473206f7074696d697a696e67
5;20683;5304;4972617120636c69656e742d736572766572
6;58769;68910;57796f6d696e67
7;85867;30972;5365616d6c657373
8;27846;67351;527562626572204c656f6e652066756e6374696f6e616c6974696573
9;94498;91187;616c61726d
10;19782;38198;496d706c656d656e746174696f6e20706f7274616c205175616c697479
