id;hierarchy;weight;name;rooms;promotion_rate;demotion_rate;total_parameter_range_upper;total_parameter_range_lower;required_matches;start_week_id
1;90148;75888;53696e6761706f7265;63872;99560;95332;25266;10108;43677;30884
2;52018;61135;53757065727669736f72;9557;22012;2254;28193;5574;44359;5240
3;17110;90781;66656564204261687261696e692044696e6172204e696765726961;78195;65365;15564;95622;39194;302;49000
4;24793;11040;657870657269656e63657320706172616469676d2053686f6573;13673;9148;76403;51387;1803;23158;93425
5;18121;8642;6261636b2d656e642043656e7472616c20466163746f7273;86747;18583;28755;97799;33308;99428;42654
6;55561;13929;486f6d65;86912;42449;55412;30932;60872;28063;92698
7;97222;66512;4c656f6e65;78696;41;11634;59618;36016;91594;96820
8;28793;92293;544858;45208;71260;85719;68803;4839;31931;14851
9;25220;41396;43616d627269646765736869726520686967682d6c6576656c2063757474696e672d65646765;16277;45232;48913;42438;79384;15676;66136
10;42640;10779;41766f6e204361796d616e2049736c616e647320446f6c6c6172;52989;78135;39167;68004;62191;63515;96863
