id;round_id;day;content_type;content_id;content_amount;present_detail;is_decorated
1;44914;30600;44012;92720;9113;696e74657266616365206f6c697665;19695
2;76796;41275;96072;22777;49954;436f74746f6e20636f6e74656e74;47897
3;53716;89699;20353;39480;15575;584d4c207765622073657276696365732073796e657267696573;3561
4;89881;49797;93112;55416;96102;436c6f7468696e67204d6f757365;65376
5;25222;2547;81073;6360;94717;4772616e697465;49764
6;54590;21417;3426;6007;17036;41766f6e;59394
7;70993;14840;53372;39884;14383;496e647573747269616c206d6f62696c652053616c6164;60621
8;39466;33692;68657;58548;41659;6465706f736974;30943
9;22295;60620;18805;52375;42801;696e766f696365;26380
10;1189;1206;29315;51893;592;70726f64756374697a652047656e657269632046726f7a656e2053686f6573;41567
