id;round_id;bonus_type;start_at;end_at;serif_sanae;serif_yayoi;serif_yoshiko;serif_maki;sanae_image;yayoi_image;yoshiko_image;maki_image;sound_switch_event_name;next_id;last_day_appeal_comment;background_image
1;57340;45949;92790;34985;4d6f6e6579204d61726b6574204163636f756e74206f70656e2d736f75726365207769746864726177616c;43616d62726964676573686972652070726f6772616d204275636b696e6768616d7368697265;6c696d65;686170746963206e6f6e2d766f6c6174696c65;6e617669676174696e67207265626f6f74;627970617373696e6720416e74617263746963612028746865207465727269746f727920536f757468206f66203630206465672053292046696a6920446f6c6c6172;43656e7472616c20636f7079696e6720456c2053616c7661646f7220436f6c6f6e20555320446f6c6c6172;6c696d65206d6174726978204942;496e766573746d656e74204163636f756e74206465706f7369742067726579;65731;696e697469617469766573;7472616e736d6974
2;25206;51024;45416;97742;7a65726f20646566656374204a756e6374696f6e73;5275737469632050726163746963616c;6d6574686f646963616c205461626c65;636f6d6d756e6974696573;6669726577616c6c;426f7264657273;627970617373;46726f7a656e2048616e646d616465;6f76657272696465207768697465;77729;70617273696e67;53534c20496e6e6f766174697665
3;32756;73960;20989;41763;647269766572204d6574616c;45677970742046757475726520536f6170;4c6963656e73656420537465656c204b6579626f61726420666f726567726f756e642043686164;53776974636861626c652068756d616e2d7265736f7572636520416c61736b61;556e6974656420537461746573204d696e6f72204f75746c79696e672049736c616e64732070616e656c;45786563757469766520457874656e646564;6e6176696761746520696e74756974697665206f70746963616c;6368616c6c656e6765;61726368697465637475726573204d616c6c;1610;536f667420436f6d7075746572;466f72696e74
4;89581;96462;5778;50922;4372656469742043617264204163636f756e74;652d7365727669636573207574696c697a65;426f7264657273;576f6f64656e20536b79776179;426564666f7264736869726520696e7465726163746976652046726f7a656e;456c2053616c7661646f7220436f6c6f6e20555320446f6c6c617220636f6d7072657373696e67;69766f727920417267656e74696e61;4d6574616c;496e766573746d656e74204163636f756e74;8708;47617264656e204372656469742043617264204163636f756e74206e6578742067656e65726174696f6e;50656e6e73796c76616e6961
5;35724;31404;57705;45959;436c6f6e656420506572736f6e616c204c6f616e204163636f756e74;46726f7a656e;434641204672616e632042454143;47726170686963616c205573657220496e74657266616365;6d6f6e6574697a6520486f6e67204b6f6e67;6c6f676973746963616c20726f627573742073797374656d73;42656175747920736f6c6964207374617465206465706f736974;426564666f72647368697265;736f6c696420737461746520617578696c69617279;35230;736f6c7574696f6e20496c6c696e6f6973;534444
6;1904;12616;73245;18541;426f72646572732041646d696e6973747261746f72206465706f736974;476c6f62616c;41766f6e204d6574616c;4265726b73686972652046726f7a656e2076696f6c6574;486f6d65204c6f616e204163636f756e74;496e766573746d656e74204163636f756e74;5368617261626c65207472616e736d697474696e67;4175746f204c6f616e204163636f756e7420436c6f7468696e67205567616e6461205368696c6c696e67;73616c6d6f6e20506f727473;69184;696e766f6963652070616e656c;4265726d756469616e20446f6c6c61722028637573746f6d6172696c79206b6e6f776e206173204265726d75646120446f6c6c617229
7;435;91680;92465;56017;436f6d7075746572;73796e65726779206c6576657261676520676f6c64;4469766973696f6e2050726f6772616d;696e7472616e65742063726f73732d706c6174666f726d2041666768616e69;48616e646372616674656420436f74746f6e20476c6f7665732065766f6c76652042616c6c;6861636b696e6720466163696c697461746f72;61636365737320536176696e6773204163636f756e74;616e616c797a657220576573742056697267696e6961;556e6974656420537461746573206f6620416d6572696361;32505;53616c616420696e7465677261746564;6e61766967617465
8;60671;53148;62678;87186;4b696e6120527562626572;41646d696e6973747261746f72;696e6469676f204f7574646f6f7273206469676974616c;526566696e6564;4772616e69746520417373697374616e74;6d696e64736861726520436f6c6f7261646f;485454502067656e65726174696e67;636f6e6e656374696e672046697368;4b69647320466c6f72696461;84740;686f6c6973746963;73747261746567697a65
9;22742;72710;17132;10730;706c756d204d6574616c207072696d617279;496e7465726e6174696f6e616c;6772616e756c617220636f6e6e656374;7472616e73666f726d204654502044617461;73797374656d6963;6e657572616c;456e67696e656572204e65772048616d707368697265206469646163746963;6861636b696e672053686f6573;6e6176696761746520465450;2660;546578617320706c756d;504e4720636f686572656e74
10;51950;63834;45053;65456;496e667261737472756374757265;696e766f696365204e65627261736b61206d6963726f63686970;706172616469676d7320426f757665742049736c616e642028426f757665746f796129;486f6d65204c6f616e204163636f756e74206661756c742d746f6c6572616e7420476f7267656f7573;546f77656c732043726f617469616e204b756e61;66656564207769746864726177616c;7261646963616c;696e766f696365207769746864726177616c204e616d69626961;76697375616c697a65;70194;70617273696e672054616e7a616e69616e205368696c6c696e67;4d696e6e65736f74612050726f6669742d666f6375736564
