id;target_attribute;target_character_group_id;target_team_group_id;target_nationality_group_id;luck_rate_group_id;description
1;31629;42973;97607;42483;25683;50726169726965204865616c7468
2;39722;51743;57132;43235;95312;43616d627269646765736869726520636f6d7072657373696e6720426f747377616e61
3;4078;83976;31500;99717;57554;4964656e74697479
4;85913;94163;22835;71112;22010;706c756d
5;92249;94422;85266;81181;77488;7363616c6520426564666f726473686972652053747265616d
6;25339;27611;50502;93036;3049;467265736820414750
7;75167;51452;42286;10688;51715;6e6578742d67656e65726174696f6e2073796e74686573697a65
8;78418;52325;76328;4511;72261;6d6167656e7461206f75742d6f662d7468652d626f7820537175617265
9;33079;74774;75494;44111;32935;527562626572206578706c6f697420417373697374616e74
10;22588;4137;61215;37888;43297;4572676f6e6f6d6963204772616e69746520536f6170
