id;world_id;jhi_number;name;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;extra_second_half_npc_deck_id;consume_ap;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;luck_id;id_id
1;22264;49307;76616c75652d6164646564206669726577616c6c20686170746963;43616d70;496e766573746d656e74204163636f756e74;56251;60280;40213;98599;64389;93776;55061;86215;25058;88913;39772;46784;42811;65744;88024;89506;96090;39295;89300;96176;71917;41578;6
2;60108;68926;55736162696c697479204572676f6e6f6d6963205361696e742048656c656e61;50616c617520646564696361746564207175616e74696679;626c7565746f6f746820486176656e;79329;48127;35988;61735;93876;40491;53392;19837;59594;96164;3136;51146;17026;73392;63293;41104;41987;35513;50816;40716;6297;40919;9
3;54418;78450;74616e206465706f736974;426f726465727320476c6f766573204d6574616c;706c756d206d6f6e69746f72696e6720496e74756974697665;55692;90898;10822;63793;93331;76916;33351;36856;21897;96001;49654;82046;27699;85394;53490;17219;34850;27096;13206;28562;26589;27090;5
4;85540;3029;627970617373;6d6574686f646963616c20736b7920626c7565;536f757468204361726f6c696e61;93465;56312;856;577;4779;42932;19149;40788;16730;11394;18119;67614;67194;70209;45948;72089;99177;72847;22688;5;31083;95392;10
5;81420;83175;42726964676520556b7261696e652073796e74686573697a696e67;6f766572726964696e6720526566696e6564;56616e7561747520436869636b656e20426f7264657273;41320;94562;87684;44293;12605;59929;87520;47633;51221;93284;40436;7608;16196;50111;70081;68695;92680;79190;37537;58301;24158;90891;6
6;94199;79618;546f6f6c73;4b696473206669726d77617265;556e696f6e2053776974636861626c65;78988;12749;63453;9303;53271;58926;39252;53211;29138;26637;82273;89945;45140;92736;50144;40261;52082;89030;44836;38394;25608;73681;2
7;47594;9853;7265626f6f74;4361757365776179;63726f73732d706c6174666f726d20436861697220436865636b696e67204163636f756e74;33864;49621;12648;68996;41448;33473;1480;69548;84104;69863;51349;70393;13916;49252;23698;91488;44797;48919;18886;45026;26859;19938;6
8;30765;83260;6578706564697465;53796e657267697a656420636f6e676c6f6d65726174696f6e207472616e736d6974;636f6d7072657373;35693;16905;98951;77485;26257;12970;25480;45375;77225;50693;43465;68738;33079;63328;17866;81072;76533;4475;78632;29644;56656;28013;10
9;14601;31816;6f72616e6765;5361696e74204d617274696e206465706f736974206f7074696d697a65;63726f73732d706c6174666f726d205370656369616c697374207061796d656e74;27786;2371;99667;7978;89326;41796;51338;94291;82532;72151;81582;8812;93479;84631;84092;73230;64367;61094;60930;82029;46735;40410;7
10;22150;79521;44657369676e6572204d6f756e7461696e73;4d696e6e65736f7461204272616e64696e67;696e766f696365204a6577656c65727920556e6974656420537461746573206f6620416d6572696361;8848;9849;2638;26512;79119;49505;25864;84653;34065;50516;6408;74803;17950;13895;76560;25241;49353;73177;88066;16473;39724;35135;3
