id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;26486;34759;34986;71277;70832;55500;36784;90419;55526;60216;9993
2;49301;80501;78575;36988;94753;64853;35584;72538;24987;20966;61621
3;88467;49887;61622;98918;42872;46236;18233;7433;94230;97736;75506
4;84358;20802;17825;33771;90460;80967;34066;69567;37711;76578;90639
5;44120;53011;71647;13776;38649;36905;21126;72209;63267;17418;97601
6;59023;31060;69527;46096;34385;67400;69388;54150;88420;84342;47211
7;76174;38290;5829;25115;99842;60420;75240;87985;86390;32466;65119
8;39623;85628;40662;11238;56081;34773;22840;87642;82221;20165;29560
9;7824;70536;78811;51321;83548;58589;16265;17960;85434;73502;68676
10;18862;52008;11347;83025;54667;41924;70929;19399;5003;28485;6939
