id;set_id;jhi_number;name;image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop;clear_limit
1;50516;80267;6e657572616c2053656375726564;4d696e6e65736f746120626c7565746f6f7468;48545450;7985;7072696d61727920426564666f72647368697265204f68696f;65393;40944;92262;87631
2;5671;29797;47616d6573;506c616e6e6572;6d6178696d697a652041727562612053435349;91248;6d756c74692d7461736b696e672048696c6c732042616e676c6164657368;94911;58003;99861;71969
3;23540;9424;7769746864726177616c20323420686f7572206261636b207570;4372657363656e7420426f7264657273;76697375616c697a65;18035;636f6e6e656374696e67;1102;30091;31212;16713
4;1259;40717;466f6375736564;496e74656c6c6967656e74205275626265722048617420527573746963;41727562616e204775696c6465722062797061737320496e6372656469626c65;46780;47656e657269632052756262657220436865657365206269667572636174656420537061696e;51746;814;92435;21305
5;54908;61609;73796e657267697a6520526570726573656e746174697665;7061727365;4175746f204c6f616e204163636f756e74;55870;526566696e656420506c6173746963204261636f6e2044796e616d6963;35424;70114;66165;29064
6;99949;29749;6c6f63616c2061726561206e6574776f726b;4b726f6f6e2043686169722046697368;53686972742048616e646d616465;23751;7265646566696e65;47590;1427;4457;60131
7;97057;56263;506c617374696320476c6f766573206f6e6c696e65;4d6f6e6579204d61726b6574204163636f756e7420436f74746f6e2067726579;476f7267656f7573204d6574616c205368697274207472616e736d697474696e67206d6f6e69746f72696e67;99017;48616e6463726166746564206465706f736974;44822;73564;44660;48701
8;45764;81318;4173737572616e6365;6369726375697420696d7061637466756c20636f7079696e67;526f757465;68989;4742;20698;31579;91819;59387
9;81518;64551;7472616e736974696f6e20476f7267656f7573207472616e73666f726d;4d6574616c20636c6561722d7468696e6b696e6720436865636b696e67204163636f756e74;7265626f6f742047656e6572696320536d616c6c;270;706172746e65727368697073;50326;36332;63766;50135
10;29606;4339;652d627573696e657373204261636f6e207061796d656e74;4d6973736f7572692076696f6c6574;4170706c69636174696f6e73;21473;41766f6e20636170616369746f72;55684;98041;92902;54545
