id;world_id;jhi_number;name;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;extra_second_half_npc_deck_id;consume_ap;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;id_id
1;96617;33681;436f6f6b2049736c616e64732047656f7267696120576f6f64656e;436f6e63726574652070726f6772616d;70726f6475637469766974792063616c63756c6174696e67;42856;60461;72658;68636;51006;1835;62196;31177;39535;63782;76820;934;42518;3297;45746;85188;51767;68402;83182;26536;65937;7
2;34916;79245;6d6f64656c204175746f6d6f7469766520436f6e66696775726174696f6e;6465706f73697420696e746572616374697665;7175616e746966792073696c76657220636f6e74656e742d6261736564;24271;7965;99167;6989;19740;64003;57552;93926;92526;193;14689;72577;97085;65706;94747;73230;88457;35540;21455;82049;63405;1
3;76089;75543;636c69656e742d73657276657220537072696e6720636f7079696e67;4d6f757365;506127616e67612044656d6f6372617469632050656f706c6527732052657075626c6963206f66204b6f726561;51440;53752;25676;99515;3488;39910;41026;61540;10655;36524;90598;39278;4125;69564;43165;93788;5224;54235;9554;76839;65886;1
4;64711;21115;41766f6e;476f7267656f7573;426f726465727320426f6f6b732068756d616e2d7265736f75726365;51403;71202;57314;86895;92575;93403;64534;32744;41473;13583;93035;23692;78488;77617;20000;97148;13084;46639;67581;30535;55988;5
5;78967;30481;5072652d656d707469766520506572736f6e616c204c6f616e204163636f756e7420426561757479;4d6574616c;436f6d707574657273204c6963656e736564207765622d656e61626c6564;87780;69679;76488;59603;2215;46038;50171;36440;27468;35300;64864;63637;72155;75127;86286;67851;47541;19841;99445;49398;97998;8
6;88216;47570;4963656c616e64206e61766967617465;47726f6365727920546f74616c;536f6170204167656e7420537465656c;1494;15527;89001;78924;24495;35850;72969;11834;81101;99645;85898;78725;99159;40874;29403;82334;71024;68060;11539;78997;40680;9
7;84797;8472;486f6d65204c6f616e204163636f756e7420426561757479;696e766f696365;417573747269612068617264206472697665207472616e736d697474696e67;94958;48138;86935;7852;48331;56053;33597;33207;15449;15494;40032;84903;36649;52159;55957;93327;66550;80601;97832;69297;72838;1
8;64374;42782;677265656e2050726f64756374;636f7079;4275636b696e6768616d7368697265;26336;57977;20986;17185;59909;26162;8892;49630;5816;41837;37224;77856;72066;73440;55480;57457;42287;82227;56575;56266;36545;10
9;93614;21722;66656564;50726f64756374206469676974616c;4672656e636820477569616e61;21546;71704;20035;8427;99053;81186;80174;71890;74827;72960;79406;10024;96892;71776;57327;67981;22024;83092;86220;4159;74273;1
10;41430;37300;53686972742057617368696e67746f6e;32342f33363520466163696c697461746f72204c656164;546f77656c7320546f6f6c73;32814;1833;90818;12762;9695;75423;60640;47154;45149;14983;93846;26396;12251;94783;21202;36713;2954;90768;43393;30463;27783;6
