id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;86990;2047;60494;52187;61409;63694;53191;23430;9185;57893;44501
2;64716;99950;68688;83522;77640;89345;31133;82322;56777;10304;98157
3;22744;89814;312;95266;30351;38613;10860;78692;47279;61989;67712
4;8273;87450;82398;74921;67710;93858;19891;5389;7973;1217;83702
5;66133;7890;28935;9135;25350;42740;33088;13479;26979;91366;51143
6;47028;44014;56915;51242;92810;67271;53026;38713;35359;25130;79715
7;16620;44285;34947;31846;74180;72322;75670;80160;66690;79171;23402
8;97767;58808;78666;57068;76993;48426;85748;54997;18;49179;36243
9;56545;73760;71550;59971;10962;17757;74962;30373;13588;33679;6662
10;56782;97607;83159;95699;93249;6043;75009;44325;84295;18624;47009
