id;category;sky_tex;ball;stadium;rainy_asset_name;is_play_rainy_sound;offense_start_bgm;offense_stop_bgm;defense_start_bgm;defense_stop_bgm
1;54560;66656564206d756c74692d62797465;524f49;4265726b7368697265206d61747269636573;7769746864726177616c205371756172657320506c616e6e6572;8384;6672696374696f6e6c657373206e6574776f726b7320486f6d65;457468696f7069612074616e;6772616e756c617220706f7274;4c696169736f6e20436865657365
2;78732;417373697374616e74;5175616c697479;55702d73697a6564;726564756e64616e74;92243;6465706f736974205065727365766572696e6720476c6f62616c;53534c;6e6174696f6e616c;4d616c616761737920417269617279
3;66908;466163746f727320627970617373696e67205461737479204772616e697465205361757361676573;496e6372656469626c6520506c6173746963205461626c652063726f73732d706c6174666f726d;757365727320446576656c6f706572;43616d6272696467657368697265;4121;4e657720596f726b20526566696e6564205275626265722050616e7473;696e7465726661636573206d6574686f646f6c6f67696573206272616e64;7472616e736d697420426f6c697669616e6f204d76646f6c20457865637574697665;696e697469617469766573205461737479204372656469742043617264204163636f756e74
4;14369;4e6f72666f6c6b2049736c616e64;465450;4e65772049737261656c692053686571656c204275636b696e6768616d7368697265;6f70746963616c20477565726e73657920436172;25098;63697263756974206e657572616c2062616e6477696474682d6d6f6e69746f726564;4173736f6369617465205265616c69676e6564;4f7574646f6f727320476f7267656f757320537465656c2053616c6164207769746864726177616c;5370656369616c69737420756e69666f726d
5;95343;46616e746173746963204d6574616c205361757361676573;737570706c792d636861696e7320437970727573;6170706c69636174696f6e;61726368697465637475726573;80051;557365722d667269656e646c79;4a6577656c6572792073696c766572;50726163746963616c20536f66742042696b65;426f7264657273
6;87246;706978656c;7265766f6c7574696f6e6172792063726f73732d6d65646961;4b6579626f617264;4675747572652041646d696e6973747261746f722063726f73732d706c6174666f726d;28681;656d62726163652068617264206472697665204c696169736f6e;7472616e736d6974746572205072696e636970616c;584d4c2055702d73697a6564;4c65736f74686f
7;48759;4861776169692047696272616c74617220506f756e64;7472616e736d6974;652d7461696c6572732047656e6572696320536f66742054756e61;6279706173732054756e61;74151;506572736f6e616c204c6f616e204163636f756e7420546173747920536f66742050697a7a6120696d706c656d656e74;6465706c6f79;766972616c207365616d6c657373206d756c74692d62797465;686f6c6973746963
8;90447;426564666f72647368697265204372657363656e74;4d6973736f757269206465706f73697420536c65656b20436f6e6372657465204261636f6e;6261636b207570206f70746963616c20616c61726d;6170706c69636174696f6e73;34643;456c656374726f6e696373206861636b696e672046726f7a656e;434f4d;5465616d2d6f7269656e74656420426f726465727320626c7565746f6f7468;556e6974656420537461746573204d696e6f72204f75746c79696e672049736c616e647320526566696e656420536f667420476c6f766573
9;50533;7769746864726177616c20426f7264657273;636c69656e742d64726976656e20456e67696e656572;5368697274206f7263686964;6f7263686573747261746520636f6d7072657373696e67204e6577204a6572736579;4197;4b6579626f61726420534153;6d6f62696c652043656e7472616c697a6564;757365722d666163696e67;636f6e6e656374696e67
10;69779;5275737469632073797374656d73;436f636f7320284b65656c696e67292049736c616e647320686575726973746963;4372656469742043617264204163636f756e7420636f6e63657074;737461626c65206672696374696f6e6c6573732070726f6772616d;84692;67656e6572617465;53616c6164;546563686e696369616e;576179732044796e616d696320627269636b732d616e642d636c69636b73
