id;position_1;position_2;position_3;position_4;position_5;position_6;position_7;position_8;position_9;position_10;position_11
1;28715;38865;50073;43296;45594;14413;34442;82275;69374;93105;75956
2;62343;85298;34364;97285;15401;26665;26515;71609;25541;39425;61352
3;67708;94503;47598;4827;99377;102;72890;60018;95249;28406;83496
4;88054;90290;32725;81441;28973;45915;26951;25178;14485;37032;58153
5;2023;16821;52399;42463;50505;46097;52525;2049;97403;1680;91145
6;52021;16171;69603;36888;94214;42395;17911;36053;10325;79849;5208
7;52403;43604;57209;62314;85301;84055;80592;68264;13221;20836;71391
8;46177;43543;91034;29464;32674;5001;49873;48724;95856;35543;73470
9;25151;74774;69467;25233;76948;41469;24478;8234;4944;60652;84875
10;10373;995;83590;93711;81455;62761;53360;32184;14116;24647;2557
