id;medal_type;name;description;max_amount;icon_asset_name;thumbnail_asset_name
1;47391;7465616c206c6176656e646572;756269717569746f7573204772617068696320496e74657266616365;92338;73797374656d73;54435020636f707920534d5450
2;53655;636f6d70726573732046726f7a656e206469737472696275746564;6861707469632063756c746976617465;21218;4469726563742044697265637469766573204265726b7368697265;6261636b67726f756e64
3;61477;4c656164204d61726b657473;736f667477617265206669726577616c6c;5557;426f7264657273;4e6175727520696e646578
4;21988;63726f73732d706c6174666f726d;70617273696e67204361796d616e2049736c616e647320446f6c6c6172;93210;6170706c69636174696f6e20636f6d707265737320546f77656c73;43656e7472616c20466f726b
5;94511;6f72616e67652048616e6463726166746564;53756d6d69742057656c6c20546563686e696369616e;39244;7472616e73706172656e7420736f66747761726520437573746f6d6572;6d6178696d697a652044697265637469766573
6;43211;4661726f652049736c616e647320526f77;696e646578696e672070726f746f636f6c;73024;4265726b736869726520706978656c20706c6174666f726d73;436f6d70757465727320427573696e6573732d666f6375736564
7;70458;50726163746963616c20467574757265;6d6963726f63686970;7355;416476616e636564;696e64657820534d5320486f6d65204c6f616e204163636f756e74
8;18819;6d6574686f646963616c20427269646765204964656e74697479;536f6674;92463;496e6372656469626c65206272616e64;526566696e656420536f667420476c6f766573
9;24330;647269766572205275737469632046726f7a656e2042696b6520676f6c64;53415320546173747920537465656c2053686f657320696e707574;13335;436f6e63726574652047726f63657279;42616c6c
10;98204;46616e746173746963;7175616e74696679696e6720696e7465726e657420736f6c7574696f6e;72783;4572676f6e6f6d6963207061796d656e74;6f7074696d697a696e67
