id;hair_model;hair_texture;head_model;head_texture;skin_texture;shoes_model;shoes_texture;globe_texture;unique_model;unique_texture;dressing_type_up;dressing_type_bottom;height;width
1;6616;49461;21593;13198;12785;95583;31240;80036;51438;66797;58875;53819;78986;79216
2;65623;49475;60875;29997;41178;16037;47380;64758;41452;92942;84216;15361;23000;18001
3;572;43360;65131;80689;20246;29392;89011;25391;85904;61996;7672;53561;10638;6022
4;49517;8148;60922;64301;27490;46512;71679;97097;59491;67853;32482;1007;2537;48101
5;75015;41444;21475;10671;83447;92320;42029;80501;57707;23008;87294;25598;86362;3201
6;37151;29671;20888;58462;77514;42084;43308;96925;19204;5608;90442;59143;19810;85830
7;2580;48074;2027;296;62231;24280;66167;32376;31104;96599;32001;91177;33949;94917
8;68015;82575;5813;35164;92911;90587;22252;98168;99967;35007;17152;26055;77154;54691
9;22341;18715;8084;3262;87493;94583;85875;92574;40357;16265;70239;40774;55706;83103
10;85295;66100;31505;39478;52367;74417;48537;89704;35390;92615;89145;37884;16587;17356
