id;uniform_bottom_id;default_dressing_type;uniform_model;uniform_texture;uniform_no_texture;default_color;uniform_no_color;number_right_leg;number_left_leg;uniform_no_position_x;uniform_no_position_y
1;70018;58852;82626;1104;73134;53747261746567697374;526566696e656420537465656c20436865657365;35302;36217;96931;73412
2;31867;10407;40988;78933;63407;486f6d652044796e616d6963;7769746864726177616c2066756368736961;3039;95307;43362;42342
3;56951;17244;87660;81570;92821;556e69746564204172616220456d697261746573207061727365;536f667420496d706c656d656e746174696f6e;36827;37106;64625;63422
4;3475;1815;88888;72246;64159;7769746864726177616c2044697374726963742043616d6272696467657368697265;70726f6772616d206f7074696d616c;32397;94897;67887;94012
5;56319;38232;16222;44698;30992;44796e616d6963;726963682031303830702046726f7a656e;11640;21618;20445;77148
6;8429;2021;62003;67076;14735;50616e74732053706f727473;5341532047616d6573204372656469742043617264204163636f756e74;36783;43354;41566;23959
7;83204;62138;30983;17848;94304;43617220696e766f6963652054616b61;4b656e7475636b79;90219;83479;1190;76180
8;49851;32909;35000;53395;58033;44697665727365;426f7264657273;8597;41684;84333;62248
9;71800;21053;94363;33874;69346;496e7472616e657420477579616e61;7a65726f2061646d696e697374726174696f6e206d6f7469766174696e67;17469;3078;32540;72380
10;19944;90546;63381;79558;56906;7768697465626f6172642077656273697465;417765736f6d65;66724;91890;28339;68570
