id;uniform_up_id;default_dressing_type;uniform_model;uniform_texture;uniform_no_texture;default_color;uniform_no_color;number_chest;number_belly;number_back;uniform_no_position_x;uniform_no_position_y
1;90165;808;91547;43748;77664;43726f73732d67726f7570;526567696f6e616c;99796;14154;18059;71038;3843
2;66113;27505;4397;83486;83659;42616c616e636564;48616e646372616674656420436f74746f6e205461626c65204469766973696f6e;28592;6562;42715;40144;10193
3;76484;49357;91517;69654;41349;652d7461696c657273;70617273696e6720436f6d707574657273207769746864726177616c;39388;79597;29838;60969;65759
4;11058;83466;62773;55839;18674;4265726b7368697265;547261696c204b69726962617469;67095;27944;1931;23096;50201
5;87425;58830;17101;34335;42586;776869746520636f7079205669737461;766972616c2063757474696e672d65646765;59568;55377;97097;71786;98308
6;89703;57965;90174;108;32850;496e7472616e657420546f6f6c73207265766f6c7574696f6e697a65;6d6f72706820486f6d6520636f6d7072657373696e67;54585;61231;33814;43833;25089
7;72673;59379;89491;20804;67419;6f7263686964;4147502043616d65726f6f6e20627970617373;76306;56338;66435;11376;24583
8;13877;86678;30003;43627;28165;536176696e6773204163636f756e74;696e70757420476f7267656f757320576f6f64656e2042696b652059656d656e69205269616c;89260;823;63373;87972;22229
9;19972;5341;94728;61512;34230;652d6d61726b657473;5065727365766572696e672050726f64756374204f76616c;22393;73070;85314;4233;25403
10;1119;30659;45806;83427;13183;7769746864726177616c;6d61676e65746963;11640;19767;3889;54848;72454
