id;name;icon
1;4173737572616e6365;61726368697465637475726573
2;4675747572652d70726f6f6665642046726f7a656e20617a757265;427573696e6573732d666f637573656420726564756e64616e74
3;46726f7a656e20686575726973746963;70726f6772616d
4;70726f6772616d20435353;652d7461696c657273206e61766967617465
5;436c6f7468696e6720706f7274;486172626f722047656e6572696320536f6674205461626c65
6;41646d696e6973747261746f7220636c69636b732d616e642d6d6f7274617220536176696e6773204163636f756e74;696e766f696365
7;537175617265207769746864726177616c;696e707574
8;65636f2d63656e74726963204e65636b204742;4c616e64696e6720494220706172616469676d73
9;67656e65726174696e6720536176696e6773204163636f756e7420426f7264657273;43616d627269646765736869726520656d706f77657220536f6674
10;4572676f6e6f6d696320627970617373696e67;6d61726b657473206f70656e2061726368697465637475726520437573746f6d6572
