id;word;judge_type
1;4175746f204c6f616e204163636f756e7420696e74616e6769626c65;26649
2;636f6d707265737320557365722d63656e74726963204d6f756e7461696e;69478
3;46616e74617374696320436865636b696e67204163636f756e74204e6f7274682044616b6f7461;68422
4;7765622d656e61626c6564;44897
5;6d6967726174696f6e;80816
6;4772616e697465204372656174697665207061796d656e74;88690
7;66756e6374696f6e616c69746965732073756363657373;90072
8;496e6372656469626c65204772616e69746520636f6e74696e67656e6379;95977
9;7769746864726177616c20536f7574682047656f7267696120616e642074686520536f7574682053616e64776963682049736c616e6473;70535
10;746563686e6f6c6f67696573206261636b207570206578706c6f6974;82636
