id;character_id;short_name;nick_name;team_id;nationality_id;rarity;attribute;model_id;jhi_level;thumbnail_assets_id;card_illust_assets_id;playable_assets_id;team_effect_id;team_effect_level;trigger_effect_id;action_1_id;action_1_level;action_2_id;action_2_level;action_3_id;action_3_level;action_4_id;action_4_level;action_5_id;action_5_level;stamina;dribble;shoot;ball_pass;tackle;jhi_block;intercept;speed;power;technique;punching;catching;high_ball_bonus;low_ball_bonus;personality_id;uniform_no;level_group_id;mcharacter_id
1;17427;4d6f6e6579204d61726b6574204163636f756e74;4963656c616e64;43076;98596;64811;10069;36429;42369;23055;30714;46980;90508;56095;86934;14260;23769;55671;8118;31925;62713;39245;33636;27931;67208;93141;3211;68333;13339;26246;68637;64503;21237;84857;85758;40163;5859;82995;21548;15441;99856;82278;5
2;54029;4469676974697a6564206d6178696d697a652050726f6475636572;6c6f63616c2061726561206e6574776f726b20627970617373696e6720496e766573746d656e74204163636f756e74;38912;26305;55764;7100;57676;54220;16553;88918;40273;67559;34343;24968;40090;57358;76111;94323;48253;72291;94031;68947;29367;96815;41570;79887;78695;13662;54602;34763;54702;96514;5334;48970;39859;11163;27073;45860;99933;69699;30835;10
3;88449;4d616c616761737920417269617279;455845206e6578742d67656e65726174696f6e;10926;88336;94893;16039;48844;33957;50278;33522;62120;4204;353;59823;93113;85482;36145;38157;39693;74003;17410;62770;37815;37564;80394;14105;79999;70932;93579;85456;40322;68585;70872;1787;50723;21623;80402;6947;71254;57038;36790;8
4;33667;53747265616d6c696e6564;56656e657a75656c6120437a656368204b6f72756e61;97140;9525;8368;11940;90122;78309;12610;35010;39295;22436;85143;35284;90625;64533;50637;54678;59410;74358;70814;33907;83275;45202;12151;10196;81006;7305;48127;46225;45062;30159;42389;61280;50921;4300;94505;12176;54820;86519;95317;6
5;18029;627573206f6e6c696e652053797269616e20506f756e64;4d61757269746975732053796e6572676973746963;33765;82164;49035;12228;31688;84858;33552;41406;33739;25369;12283;86976;8464;43202;4649;80836;11095;26340;34370;392;59387;49545;18814;10022;88800;75437;80838;27607;52052;44364;72420;8703;36632;28665;3677;78149;90433;15158;12779;7
6;94793;4e6f7274682044616b6f74612070726f746f636f6c2041766f6e;416d656c696f7261746564204e6174696f6e616c;71510;73986;63955;51006;66376;24423;41420;33510;4455;86305;78444;52554;67871;52835;47280;96146;89975;32088;33615;47954;29432;81171;87279;75891;79698;26579;51497;15109;13073;70070;21507;25765;65622;92267;38504;12924;83647;31831;94995;1
7;80563;652d656e61626c6520626c7565746f6f746820706c75672d616e642d706c6179;537465656c;8773;38571;83841;90355;85551;23898;83103;20651;79896;96982;36222;2500;21746;78578;92880;32136;30700;3748;39840;91780;69955;13964;29335;55177;81913;27405;7003;6519;79118;4992;60185;11555;57299;7136;45837;76055;27704;48556;46407;4
8;45002;57617368696e67746f6e207472616e736974696f6e616c;70616e656c;88468;69917;31964;2249;38110;85644;61371;69439;62362;76808;48169;83598;40065;12271;98618;82245;82112;50464;43498;88552;72729;88658;26956;2417;10016;38286;35243;52639;40297;67836;1653;28618;81479;25214;35919;38126;58041;50093;7396;10
9;17499;446973747269637420436865636b696e67204163636f756e742044697265637469766573;49736c616e6473207669727475616c206578706c6f6974;53849;99861;89180;62964;91379;79514;21577;78174;4359;35533;30541;57427;69580;83305;95111;68811;7703;2116;2848;33670;88414;14447;74814;23297;99224;90548;39679;3689;41605;21980;17231;30956;11584;61688;57871;53410;36428;21826;8031;2
10;88698;74616e;646972656374696f6e616c20437265617469766520436f7665;5879;75607;72926;9811;32884;44691;65348;73400;27959;17321;57074;28566;77215;86476;92800;88511;26112;4493;33485;16809;46426;11747;92717;17969;90138;97018;8987;55165;13192;46811;49550;98446;10661;55695;34558;66111;14838;33277;63604;4
