id;name;effect_param_type;target_position_gk;target_position_fw;target_position_omf;target_position_dmf;target_position_df;target_attribute;target_nationality_group_id;target_team_group_id;target_playable_card_group_id;description
1;496c6c696e6f69732053776974636861626c65207472616e736d6974746572;68624;23094;31811;9843;17680;97942;10240;29602;73731;87089;47617264656e2053706f727473
2;536176696e6773204163636f756e74204275636b696e6768616d7368697265;74337;56556;81558;7748;68607;16262;44000;38804;37929;18560;68617074696320696e666f6d656469617269657320556e6272616e646564
3;53656e696f722062692d646972656374696f6e616c;18788;23960;26128;85952;75137;92461;37005;82625;17338;33407;656d706f776572696e67
4;4d6574616c204368697073;68388;13157;1973;4929;11755;69435;84436;83222;84491;84634;4261687261696e692044696e6172
5;6669726577616c6c20756269717569746f757320546173747920576f6f64656e2050697a7a61;13721;30975;58911;19621;89811;54812;79307;45301;54651;87775;47656e65726963204d6f6e69746f726564
6;436f6d70617469626c65204c656d70697261204149;37287;62259;84153;15813;43108;86060;40133;44754;2832;91702;53746174696f6e206d756c74692d7461736b696e6720576f6f64656e
7;417765736f6d65;57285;10715;40151;39172;42909;58927;96780;27568;72392;17522;6261636b2075702050726f6772616d
8;5377697373204672616e63;83773;96001;70770;3778;40588;97763;3113;464;96740;87366;6b6e6f776c656467652075736572204272616e6420696e7472616e6574
9;53656e696f72204e616b6661;71998;77367;8496;52868;10651;92796;12734;42875;90437;86981;53717561726520457865637574697665
10;546163746963732070726f6772616d6d696e672053776974636861626c65;87418;21068;26344;62429;20533;7268;26424;83671;90995;17454;496e6372656469626c6520436f74746f6e20436869636b656e204e6f7274682044616b6f746120534153
