id;model_id;proper_position_gk;proper_position_fw;proper_position_omf;proper_position_dmf;proper_position_df;character_id;nick_name;team_id;nationality_id;rarity;attribute;thumbnail_assets_id;card_illust_assets_id;playable_assets_id;team_effect_id;trigger_effect_id;max_action_slot;initial_action_id_1;initial_action_id_2;initial_action_id_3;initial_action_id_4;initial_action_id_5;initial_stamina;initial_dribble;initial_shoot;initial_pass;initial_tackle;initial_block;initial_intercept;initial_speed;initial_power;initial_technique;initial_punching;initial_catching;max_stamina;max_dribble;max_shoot;max_pass;max_tackle;max_block;max_intercept;max_speed;max_power;max_technique;max_punching;max_catching;max_plus_dribble;max_plus_shoot;max_plus_pass;max_plus_tackle;max_plus_block;max_plus_intercept;max_plus_speed;max_plus_power;max_plus_technique;max_plus_punching;max_plus_catching;high_ball_bonus;low_ball_bonus;is_drop_only;sell_coin_group_num;sell_medal_id;character_book_id;book_no;is_show_book;level_group_id;start_at;id_id
1;61214;25255;54925;74545;27302;63419;24450;506c61737469632063616c63756c6174696e67204175746f204c6f616e204163636f756e74;18651;34527;17720;33989;87303;89995;74273;4979;65939;35018;40686;11867;26197;2898;97945;11286;79723;43124;30177;68695;84756;28928;75893;84967;29708;43761;42655;96822;18595;95415;11105;77327;72276;93240;26751;70709;82005;89558;99560;23647;7661;34542;47303;75293;80206;42456;78895;83732;75999;87763;34899;29972;45385;82345;59496;15426;97394;33419;32754;51796;10
2;22644;26935;57926;98907;57869;67026;20690;626c7565746f6f7468207769746864726177616c;31776;27417;23218;11355;87875;11405;83574;34767;22976;76285;3560;60797;80453;10258;61550;85223;10088;60136;58735;96085;45218;67018;77455;17517;20908;47378;45315;64849;15624;2826;95752;1491;77873;12940;73672;25166;69020;42954;42333;48744;92328;13802;7291;67339;80325;59613;21523;29446;32402;1365;51942;7764;78265;39169;83853;15397;58373;37681;40303;62818;10
3;54723;24652;23117;80309;34382;61204;61403;54435020636f6e6e656374;55340;27671;36229;10434;36505;7515;87941;34755;3924;61475;98798;83751;66437;18356;68113;42464;3799;39195;60552;51339;48477;80958;10577;55364;27792;84665;89031;51855;54998;60384;41341;43738;7268;82309;71412;92382;70285;63914;61404;82078;51026;5900;43378;90611;59327;18892;23339;25652;94125;5333;58879;96540;31119;85201;44967;91318;80568;84721;16161;47953;3
4;92408;67950;96947;31548;50256;79250;17562;696e766f696365;97543;6835;87214;1259;86181;89822;93381;58133;89395;35182;77628;23259;71827;61688;26476;50900;62134;99159;52148;98321;86194;63502;49171;44287;12774;49114;497;68247;67787;10157;54990;32835;33096;7527;16897;7336;46671;19583;10028;48525;33610;78477;37921;48549;46561;33547;46662;8235;25700;55029;85021;27126;35554;61493;22958;97718;17580;11131;32257;21212;1
5;47309;3290;96861;60514;77180;61914;89822;656e74657270726973652053757065727669736f72;10283;93597;5297;9506;85560;67402;92726;13339;9058;87990;11342;51071;3317;8229;10450;61672;20941;910;97007;77602;66786;65058;77855;21262;77613;37475;53507;780;79748;69368;59580;32266;31454;57158;56111;95672;53350;29946;82345;99023;98172;63272;41104;24208;76339;43677;9976;74045;77683;44647;37141;6850;3939;16860;36324;79129;61064;64837;11925;56982;10
6;16762;7767;83775;93000;96074;70713;4088;46616e746173746963;88472;74080;81555;60147;61793;67164;94496;38916;64643;48781;21598;98986;72864;21392;64571;41785;98574;29182;21389;76511;59788;76401;78016;29244;33898;8139;37967;1143;88790;42745;40419;41033;62473;98838;88923;46980;20982;25641;98187;89122;70195;49106;49612;59917;43092;9566;95436;38291;20572;94422;31168;58950;30779;34450;28900;62566;46853;91041;98917;27399;9
7;50511;32794;95869;42287;17239;66948;71966;4175746f204c6f616e204163636f756e74;67967;87979;35121;85720;31387;37505;68420;46199;21554;1238;41965;39939;18817;46042;830;90697;97005;89398;43170;96609;96934;88510;14032;820;58736;64146;20097;6823;79007;27259;78370;57830;11260;70061;91206;65463;19462;4905;61297;10360;98563;12858;88239;9141;95656;17823;34259;68848;10557;83083;18834;40881;50049;69278;79322;20001;15015;97328;65973;34999;4
8;84586;34120;94536;66191;86471;46699;6706;6465706f73697420536f6674204d6f76696573;5178;19405;91614;65614;90846;85492;22582;25267;54706;32719;95502;53712;49670;21157;39357;81115;48324;77363;79021;14529;47727;46382;78327;77482;43169;33732;25200;63310;32647;5021;7782;60868;49738;15265;14811;83058;81154;35544;42059;28155;76500;84088;95446;5014;84947;39660;95146;37000;56793;28480;16532;91175;93539;75092;86850;6392;86441;71468;69327;52729;7
9;90086;1472;31294;74805;57416;9153;50075;426f7264657273;45610;45173;20562;1577;75570;82398;45133;87880;95851;68187;26080;54106;68274;96073;94071;11995;66345;73791;87127;12836;82748;38184;36011;58548;60012;73708;15626;371;53552;26059;23042;53820;74373;53287;52805;63762;41122;30385;26879;54052;99869;18978;7171;18687;4356;57656;21725;68547;97107;12039;97923;12278;65492;56530;88010;27009;21396;39239;97204;40074;2
10;17855;10112;131;11221;85315;57312;71500;496e6469616e205275706565204e67756c7472756d2056697267696e2049736c616e64732c20552e532e20576f6e;93568;15044;66567;46596;26509;67903;57056;83222;44232;45876;55641;59360;51761;26734;85877;64591;65180;98597;18875;4905;6301;88653;42436;56228;1561;25209;31829;95488;36802;48335;37558;33169;97935;18149;30390;24445;26522;83284;12938;61441;51100;91324;15367;23196;61629;12113;15515;608;57667;50786;82626;99830;4252;69496;41974;30839;46104;87685;79107;78172;5
