id;up_description;down_description;target_type;target_wave;target_lower_grade;target_point
1;696e707574;6d6963726f63686970;14088;79196;87702;74277
2;53717561726573;506c61696e;32827;40672;15823;31652
3;7061796d656e74;42656e696e2046726f7a656e;11269;77849;7231;5637
4;506f6c616e6420536d616c6c20636f6e6e656374696e67;527573746963204c656164;90711;3158;69823;50736
5;7472616e736d69747465722046726573682073616c6d6f6e;636f6e676c6f6d65726174696f6e;21779;39133;32720;55961
6;436f6c6f6d6269616e205065736f20556e696461642064652056616c6f72205265616c20456e67696e656572;5061726b7761792052652d656e67696e656572656420576573742056697267696e6961;92317;8347;74808;563
7;546f7973204d6973736f757269;6772657920476c6f62616c204f70656e2d6172636869746563746564;9130;9477;75001;32158
8;546f6f6c73;4a6577656c657279;13706;82941;17320;80194
9;616c61726d;7175616e74696679696e67207768697465626f61726420534d5450;21334;51404;32539;36334
10;706978656c;72656c6174696f6e7368697073;61328;43335;76167;27662
