id;group_id;achievement_type;jhi_rank;weight;content_type;content_id;content_amount
1;75514;50157;80375;86660;55297;79472;48856
2;96274;11393;7188;8395;26832;33956;8020
3;31084;75107;95365;14083;78362;9988;65992
4;56167;51764;41148;16736;71510;97845;48701
5;37504;42533;10692;42550;49379;87187;87399
6;39522;88729;33339;1096;33853;88629;19660
7;27148;86068;3897;14663;84779;90861;86386
8;28346;59623;89942;57443;79082;81312;58198
9;78630;66946;89010;32584;55274;57422;96764
10;29240;99614;40227;11654;76466;84954;24393
