id;world_id;jhi_number;name;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;consume_ap;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;mquestworld_id
1;66825;37663;4e6577204d657869636f;524f49;6d617472697820434641204672616e6320424345414f;35336;428;80860;88543;23583;6649;46127;95304;47253;28182;34081;38203;95466;9163;69668;11227;53919;72674;51051;94433;2
2;61074;37218;53797269616e20506f756e6420467574757265206261636b696e67207570;47726f63657279;476f7267656f7573204572676f6e6f6d6963;47023;17952;53021;12449;26402;91487;64278;14026;70338;53764;29911;59310;75842;54348;20560;9905;54425;31879;80428;5127;6
3;39566;90796;417765736f6d652052756262657220436869636b656e;4e6f72746865726e204d617269616e612049736c616e6473206e6574776f726b73;627573206469676974616c;28881;73421;38749;75748;62677;41920;55346;29730;96110;47054;18683;9321;35127;4593;57275;11160;86796;18714;92934;50417;4
4;84913;6710;657870657269656e636573;4d6574726963732047726f7570;6672616d6520726f6275737420696e637562617465;82154;55868;8101;84997;31650;99599;96631;50815;15310;34520;74260;18590;35639;479;58178;50911;9954;55551;30641;82493;6
5;50457;23170;4e65746865726c616e64732066756368736961206465706f736974;53444420446f6d696e6963616e205065736f2050697a7a61;696e766f696365;7870;3221;48635;46253;20975;31347;19909;66507;94064;83962;76154;36037;69623;42690;23892;98191;11857;78391;87083;89720;1
6;43876;38809;66726573682d7468696e6b696e67;706f727420496e6372656469626c65;6261636b696e67207570;60318;43234;14568;82744;72647;2466;20745;67532;43300;93249;64660;23692;27192;69363;38410;97510;73414;96227;93791;23492;6
7;10033;997;63726f73732d6d65646961;617272617920576f6e;6465706f73697420527562626572;27263;48368;50764;72883;31557;44136;99108;33863;43143;29347;86979;21147;89650;26574;83600;9483;4689;34685;94774;3656;2
8;18641;3440;652d7365727669636573206f6c6976652046697368;496c6c696e6f6973;41726d656e69616e204472616d206c696d6520557a62656b697374616e;98642;86227;43238;16789;64187;32682;96937;17245;13763;60130;41860;71218;85019;31707;93230;53950;60123;69092;14342;42133;10
9;85401;17444;726f627573742062656e63686d61726b20466f7264;536f7574682044616b6f7461204173737572616e636520544350;496f776120636f6d7072657373;44462;53251;94493;11424;82381;54927;63815;133;6242;32384;65234;21993;91157;97121;37944;72724;83813;34965;31316;9284;6
10;51680;64842;506174616361;6f766572726964696e67204d6f6e6579204d61726b6574204163636f756e74207061796d656e74;53617573616765732056696164756374;2003;51272;14097;30575;67884;45958;74746;18655;11531;63634;22770;50009;9890;10330;43341;19764;12611;47963;43729;88758;8
