id;success_condition_type;success_condition_detail_type_value;has_exist_target_character_group;has_success_condition_value_one_only;failure_condition_type_value;description
1;56544;82402;43628;55497;53994;7465616c
2;43071;36406;50170;66696;90118;757365722d666163696e67204942
3;64424;10240;2034;13152;72463;436f6d70757465727320436f6e73756c74616e7420484444
4;29734;22983;25741;47868;38144;757365722d63656e74726963207574696c697a65
5;31827;89584;62113;65208;16426;6261636b696e6720757020626c7565746f6f74682050617468
6;85272;53720;24714;78586;1756;4175746f204c6f616e204163636f756e7420466f7264
7;56716;80598;89933;17931;96992;696e766f696365206e6176696761746520417765736f6d65
8;16071;65832;73320;7947;43136;49736c616e64207374726174656779
9;60735;87667;18516;70077;62691;466973682046616e74617374696320506c6173746963205368697274
10;23114;55370;88899;93802;5495;546f77656c73205361696e742056696e63656e7420616e6420746865204772656e6164696e65732049736c616e6473
