id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount
1;4585;73046;725;41067;98806;27966;65883;60972;36540;68687
2;47043;45929;26655;56550;34487;69406;64904;76771;88281;89557
3;18413;35454;84036;95147;12155;63727;21499;78770;3717;69976
4;14081;20557;91730;7143;45943;72628;7766;51105;95972;70221
5;87899;47684;75468;31223;93347;28501;22012;73053;83636;27678
6;68999;71467;86975;38396;79691;77089;34649;14280;77439;20497
7;26245;68591;32859;56023;10790;20387;93507;90282;29100;27594
8;52062;42107;39133;20228;95992;38802;33504;49164;77854;29524
9;85541;76909;43560;39393;37817;72950;74774;20707;91289;37703
10;75493;805;22712;75863;88830;62588;38758;81782;57622;45561
